book,vector
oquls-威廉·莎士比亚 | 有声书虫（2级）,"[0.8288288288288288, 0.11261261261261261, 0.006756756756756757, 0.024774774774774775, 0.0045045045045045045, 0.006756756756756757, 0.0045045045045045045, 0.0045045045045045045, 0.0, 0.0022522522522522522, 0.0022522522522522522, 0.0, 0.0, 0.0, 0.0022522522522522522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
sjqec-五个孩子和沙精,"[0.30816237450894807, 0.22959406372762986, 0.08336970755128764, 0.09821038847664776, 0.07289393278044522, 0.055870798777826275, 0.028808380619816675, 0.027062418158009603, 0.02357049323439546, 0.012658227848101266, 0.010475774770842427, 0.012658227848101266, 0.008293321693583587, 0.002182453077258839, 0.006110868616324749, 0.0030554343081623746, 0.0030554343081623746, 0.0026189436927106066, 0.0026189436927106066, 0.002182453077258839, 0.0013094718463553033, 0.00043649061545176777, 0.0008729812309035355, 0.0013094718463553033, 0.00043649061545176777, 0.00043649061545176777, 0.0, 0.001745962461807071, 0.0, 0.0]"
kbihz-风力发电｜大英百科,"[0.39938556067588327, 0.24731182795698925, 0.17972350230414746, 0.06758832565284179, 0.03225806451612903, 0.015360983102918587, 0.018433179723502304, 0.01228878648233487, 0.006144393241167435, 0.004608294930875576, 0.0030721966205837174, 0.0015360983102918587, 0.0030721966205837174, 0.0, 0.0030721966205837174, 0.0015360983102918587, 0.0015360983102918587, 0.0, 0.0015360983102918587, 0.0, 0.0015360983102918587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gjsxc-古代技术｜大英百科,"[0.26671214188267395, 0.21623465211459755, 0.18963165075034105, 0.08799454297407913, 0.0572987721691678, 0.04229195088676671, 0.02796725784447476, 0.019781718963165076, 0.015688949522510234, 0.011596180081855388, 0.01432469304229195, 0.01296043656207367, 0.0047748976807639835, 0.0034106412005457027, 0.0034106412005457027, 0.0047748976807639835, 0.0034106412005457027, 0.002728512960436562, 0.0020463847203274215, 0.0020463847203274215, 0.001364256480218281, 0.001364256480218281, 0.0020463847203274215, 0.001364256480218281, 0.0020463847203274215, 0.0020463847203274215, 0.0006821282401091405, 0.0, 0.0, 0.0]"
htusc-航空史｜大英百科,"[0.24913043478260868, 0.21304347826086956, 0.2082608695652174, 0.09391304347826086, 0.05521739130434783, 0.04826086956521739, 0.027391304347826086, 0.024782608695652172, 0.018260869565217393, 0.011739130434782608, 0.013043478260869565, 0.004782608695652174, 0.007391304347826087, 0.0034782608695652175, 0.007391304347826087, 0.0026086956521739132, 0.0004347826086956522, 0.0026086956521739132, 0.002173913043478261, 0.0026086956521739132, 0.0008695652173913044, 0.0004347826086956522, 0.0004347826086956522, 0.0004347826086956522, 0.0, 0.0004347826086956522, 0.0004347826086956522, 0.0004347826086956522, 0.0, 0.0]"
yjnzs-人猿泰山（下）,"[0.2818181818181818, 0.21818181818181817, 0.12424242424242424, 0.1038961038961039, 0.0658008658008658, 0.047619047619047616, 0.0367965367965368, 0.032467532467532464, 0.02683982683982684, 0.020346320346320345, 0.01341991341991342, 0.008225108225108226, 0.005627705627705628, 0.003896103896103896, 0.003463203463203463, 0.0004329004329004329, 0.0012987012987012987, 0.0012987012987012987, 0.0012987012987012987, 0.0008658008658008658, 0.0004329004329004329, 0.0008658008658008658, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008658008658008658, 0.0, 0.0]"
bcyohp-地球和月球｜大英百科,"[0.345045045045045, 0.22612612612612612, 0.16576576576576577, 0.08288288288288288, 0.04144144144144144, 0.03423423423423423, 0.01981981981981982, 0.018018018018018018, 0.009009009009009009, 0.008108108108108109, 0.006306306306306306, 0.002702702702702703, 0.008108108108108109, 0.0036036036036036037, 0.007207207207207207, 0.0018018018018018018, 0.0045045045045045045, 0.0018018018018018018, 0.002702702702702703, 0.0009009009009009009, 0.0036036036036036037, 0.0, 0.0018018018018018018, 0.0009009009009009009, 0.002702702702702703, 0.0009009009009009009, 0.0, 0.0, 0.0, 0.0]"
byqix-巴黎圣母院（中）,"[0.19313669880884857, 0.17328417470221213, 0.12705615428247305, 0.10436755530346001, 0.07827566647759501, 0.06494611457742484, 0.04367555303460011, 0.033749290981281904, 0.03403289846851957, 0.027509926262053317, 0.021554169030062395, 0.019852524106636415, 0.016732841747022123, 0.01191151446398185, 0.008791832104367556, 0.007941009642654566, 0.005104934770277935, 0.006239364719228588, 0.0045377197958026095, 0.003119682359614294, 0.0022688598979013048, 0.0025524673851389677, 0.0019852524106636414, 0.0019852524106636414, 0.0011344299489506524, 0.0022688598979013048, 0.0002836074872376631, 0.0017016449234259785, 0.0, 0.0]"
bcminx-侠盗罗宾汉 | 有声书虫（入门）,"[0.8504672897196262, 0.06542056074766354, 0.018691588785046728, 0.037383177570093455, 0.0, 0.009345794392523364, 0.009345794392523364, 0.0, 0.009345794392523364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
zdxfu-医学技术的演变｜大英百科,"[0.31906614785992216, 0.2247081712062257, 0.1926070038910506, 0.06420233463035019, 0.05155642023346303, 0.02821011673151751, 0.02237354085603113, 0.019455252918287938, 0.01556420233463035, 0.01848249027237354, 0.011673151750972763, 0.006809338521400778, 0.0048638132295719845, 0.0029182879377431907, 0.0019455252918287938, 0.0019455252918287938, 0.0029182879377431907, 0.0009727626459143969, 0.0019455252918287938, 0.0019455252918287938, 0.0, 0.0029182879377431907, 0.0019455252918287938, 0.0, 0.0009727626459143969, 0.0, 0.0, 0.0, 0.0, 0.0]"
cujwu-魔戒第三部：王者归来（下）,"[0.24456521739130435, 0.19633152173913043, 0.11345108695652174, 0.10054347826086957, 0.07744565217391304, 0.06521739130434782, 0.049252717391304345, 0.036684782608695655, 0.030230978260869564, 0.021739130434782608, 0.016644021739130436, 0.012228260869565218, 0.008491847826086956, 0.00577445652173913, 0.004755434782608696, 0.002717391304347826, 0.0030570652173913045, 0.0016983695652173913, 0.001358695652173913, 0.002377717391304348, 0.0020380434782608695, 0.0006793478260869565, 0.0006793478260869565, 0.0010190217391304348, 0.00033967391304347825, 0.00033967391304347825, 0.0, 0.00033967391304347825, 0.0, 0.0]"
bslze-心灵奇旅（迪士尼大电影双语阅读）,"[0.3627450980392157, 0.22365196078431374, 0.09252450980392157, 0.09436274509803921, 0.06740196078431372, 0.04595588235294118, 0.02267156862745098, 0.02267156862745098, 0.012867647058823529, 0.014705882352941176, 0.011642156862745098, 0.007352941176470588, 0.004901960784313725, 0.003676470588235294, 0.003676470588235294, 0.0012254901960784314, 0.0030637254901960784, 0.001838235294117647, 0.001838235294117647, 0.0, 0.0, 0.0006127450980392157, 0.0006127450980392157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ovifg-全球气候｜大英百科,"[0.3656821378340366, 0.23628691983122363, 0.18565400843881857, 0.06891701828410689, 0.035161744022503515, 0.029535864978902954, 0.02250351617440225, 0.012658227848101266, 0.008438818565400843, 0.005625879043600563, 0.009845288326300985, 0.004219409282700422, 0.008438818565400843, 0.0, 0.004219409282700422, 0.0014064697609001407, 0.0014064697609001407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fsqyp-巴黎圣母院 | 译林有声双语,"[0.4075595727198028, 0.22678718159408381, 0.07559572719802794, 0.09120788824979457, 0.06737880032867707, 0.04601479046836483, 0.030402629416598194, 0.013968775677896467, 0.015612161051766639, 0.011503697617091208, 0.003286770747740345, 0.0049301561216105174, 0.003286770747740345, 0.0, 0.0008216926869350862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008216926869350862, 0.0, 0.0, 0.0, 0.0008216926869350862, 0.0, 0.0]"
fwsnx-八十天环游地球（上）,"[0.2836909871244635, 0.21072961373390559, 0.1351931330472103, 0.08969957081545064, 0.06223175965665236, 0.05021459227467811, 0.03347639484978541, 0.03175965665236052, 0.01587982832618026, 0.02017167381974249, 0.01201716738197425, 0.014163090128755365, 0.01072961373390558, 0.005150214592274678, 0.0068669527896995704, 0.0030042918454935624, 0.002575107296137339, 0.002575107296137339, 0.0012875536480686696, 0.0008583690987124463, 0.0038626609442060085, 0.0008583690987124463, 0.00042918454935622315, 0.0, 0.00042918454935622315, 0.0008583690987124463, 0.00042918454935622315, 0.0008583690987124463, 0.0, 0.0]"
mvdwu-内行星｜大英百科,"[0.26713780918727914, 0.19646643109540637, 0.20141342756183744, 0.08763250883392226, 0.05724381625441696, 0.045936395759717315, 0.03462897526501767, 0.028268551236749116, 0.012720848056537103, 0.01060070671378092, 0.007067137809187279, 0.0049469964664310955, 0.008480565371024734, 0.0035335689045936395, 0.009893992932862191, 0.004240282685512367, 0.0028268551236749115, 0.0028268551236749115, 0.0014134275618374558, 0.0028268551236749115, 0.0035335689045936395, 0.0014134275618374558, 0.0014134275618374558, 0.0014134275618374558, 0.0007067137809187279, 0.0014134275618374558, 0.0, 0.0, 0.0, 0.0]"
jvvhu-风中奇缘 | 有声书虫（2级）,"[0.919831223628692, 0.05063291139240506, 0.0, 0.02109704641350211, 0.004219409282700422, 0.004219409282700422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bcskpx-远离尘嚣 | 有声书虫（5级）,"[0.6108220603537982, 0.2570239334027055, 0.053069719042663895, 0.03850156087408949, 0.027055150884495317, 0.006243496357960458, 0.0, 0.003121748178980229, 0.001040582726326743, 0.001040582726326743, 0.001040582726326743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001040582726326743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
llcxx-神秘岛（中） ：被遗弃的人,"[0.2429640185251158, 0.20377627360171002, 0.13430708941930888, 0.106163163519772, 0.07623797648735305, 0.05842536515853224, 0.037762736017100104, 0.02921268257926612, 0.0220876380477378, 0.018881368008550052, 0.013537584609903812, 0.0110438190238689, 0.007837548984681154, 0.00641254007837549, 0.004631278945493409, 0.00641254007837549, 0.004631278945493409, 0.003206270039187745, 0.0028500178126113287, 0.0017812611328820805, 0.0010687566797292483, 0.0021375133594584966, 0.0003562522265764161, 0.0014250089063056644, 0.0010687566797292483, 0.0007125044531528322, 0.0003562522265764161, 0.0007125044531528322, 0.0, 0.0]"
ygyjz-哈克贝利·费恩历险记（上）,"[0.3383733055265902, 0.2059436913451512, 0.06517205422314912, 0.08706986444212722, 0.07612095933263817, 0.054223149113660066, 0.034932221063607924, 0.026068821689259645, 0.02346193952033368, 0.016684045881126174, 0.014077163712200209, 0.011991657977059436, 0.0046923879040667365, 0.006777893639207508, 0.0046923879040667365, 0.005735140771637122, 0.004171011470281543, 0.006256517205422315, 0.0005213764337851929, 0.0010427528675703858, 0.0031282586027111575, 0.0026068821689259644, 0.0010427528675703858, 0.0010427528675703858, 0.0015641293013555788, 0.0, 0.0015641293013555788, 0.0010427528675703858, 0.0, 0.0]"
dcpwz-足球及最伟大的足球运动员们｜大英百科,"[0.40281329923273657, 0.23273657289002558, 0.16112531969309463, 0.07544757033248081, 0.04092071611253197, 0.02557544757033248, 0.01918158567774936, 0.01918158567774936, 0.010230179028132993, 0.0038363171355498722, 0.0012787723785166241, 0.0012787723785166241, 0.0012787723785166241, 0.0, 0.0012787723785166241, 0.0, 0.0012787723785166241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012787723785166241, 0.0, 0.0012787723785166241, 0.0, 0.0]"
nldie-骑鹅旅行记（下）,"[0.2827644332069111, 0.21449641803624103, 0.10998735777496839, 0.09692372524230931, 0.07922461019806153, 0.05520438263801096, 0.041719342604298354, 0.026127265065318164, 0.024441635061104087, 0.01980615254951538, 0.01390644753476612, 0.011378002528445006, 0.008428150021070375, 0.005478297513695744, 0.00337126000842815, 0.0029498525073746312, 0.0012642225031605564, 0.00042140750105351877, 0.0008428150021070375, 0.00042140750105351877, 0.00042140750105351877, 0.00042140750105351877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bvetjz-绿野仙踪 | 译林有声双语,"[0.5868187579214195, 0.2217997465145754, 0.031685678073510776, 0.049429657794676805, 0.051964512040557666, 0.019011406844106463, 0.01394169835234474, 0.008871989860583017, 0.0076045627376425855, 0.0012674271229404308, 0.0012674271229404308, 0.0012674271229404308, 0.0025348542458808617, 0.0, 0.0012674271229404308, 0.0, 0.0, 0.0, 0.0012674271229404308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
gebcn-太阳、恒星和星系｜大英百科,"[0.3487881981032666, 0.22550052687038988, 0.1780821917808219, 0.08429926238145416, 0.03898840885142255, 0.023182297154899896, 0.026343519494204427, 0.01685985247629083, 0.014752370916754479, 0.008429926238145416, 0.003161222339304531, 0.003161222339304531, 0.004214963119072708, 0.001053740779768177, 0.005268703898840885, 0.005268703898840885, 0.002107481559536354, 0.001053740779768177, 0.004214963119072708, 0.001053740779768177, 0.0, 0.001053740779768177, 0.002107481559536354, 0.001053740779768177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
wwwjz-光｜大英百科,"[0.3967391304347826, 0.22282608695652173, 0.17391304347826086, 0.08152173913043478, 0.033967391304347824, 0.025815217391304348, 0.021739130434782608, 0.01358695652173913, 0.008152173913043478, 0.006793478260869565, 0.006793478260869565, 0.001358695652173913, 0.001358695652173913, 0.0, 0.001358695652173913, 0.0, 0.001358695652173913, 0.0, 0.001358695652173913, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001358695652173913, 0.0, 0.0, 0.0, 0.0, 0.0]"
ewshq-心如花园,"[0.3949843260188088, 0.2432601880877743, 0.13166144200626959, 0.08025078369905957, 0.053918495297805645, 0.03197492163009404, 0.01755485893416928, 0.012539184952978056, 0.013166144200626959, 0.00438871473354232, 0.00438871473354232, 0.0025078369905956114, 0.003134796238244514, 0.0018808777429467085, 0.0012539184952978057, 0.0006269592476489029, 0.0, 0.0018808777429467085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006269592476489029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
xudce-三个火枪手（一）,"[0.2620571916346564, 0.2095603926589842, 0.13700384122919335, 0.09517712334613743, 0.0695689287238583, 0.05121638924455826, 0.03627827571489543, 0.02560819462227913, 0.02390098164746052, 0.020059752454118653, 0.010243277848911651, 0.011523687580025609, 0.01195049082373026, 0.006828851899274435, 0.004694835680751174, 0.002987622705932565, 0.002134016218523261, 0.002134016218523261, 0.0012804097311139564, 0.0034144259496372174, 0.0004268032437046522, 0.0017072129748186087, 0.0008536064874093043, 0.002560819462227913, 0.0008536064874093043, 0.0034144259496372174, 0.0008536064874093043, 0.0017072129748186087, 0.0, 0.0]"
esfux-稻草人,"[0.3137535816618911, 0.23782234957020057, 0.1017191977077364, 0.09742120343839542, 0.07927411652340019, 0.04680038204393505, 0.029608404966571154, 0.02005730659025788, 0.025787965616045846, 0.013371537726838587, 0.010983763132760267, 0.0033428844317096467, 0.004297994269340974, 0.0033428844317096467, 0.0033428844317096467, 0.0014326647564469914, 0.0028653295128939827, 0.0009551098376313276, 0.0009551098376313276, 0.0009551098376313276, 0.0, 0.0, 0.0004775549188156638, 0.0, 0.0, 0.0009551098376313276, 0.0, 0.0004775549188156638, 0.0, 0.0]"
glrfq-地心游记（上）,"[0.25468867216804203, 0.20180045011252815, 0.14103525881470366, 0.09639909977494374, 0.07539384846211553, 0.05026256564141035, 0.04463615903975994, 0.02700675168792198, 0.021005251312828207, 0.014628657164291074, 0.010877719429857465, 0.01350337584396099, 0.007876969242310577, 0.007501875468867217, 0.007126781695423856, 0.006376594148537134, 0.0037509377344336083, 0.003000750187546887, 0.002625656414103526, 0.0033758439609902473, 0.0033758439609902473, 0.0007501875468867217, 0.0007501875468867217, 0.0007501875468867217, 0.00037509377344336085, 0.0007501875468867217, 0.00037509377344336085, 0.0, 0.0, 0.0]"
brgxsi-野性的呼唤 | 有声书虫（3级）,"[0.8097087378640777, 0.13398058252427184, 0.009708737864077669, 0.021359223300970873, 0.009708737864077669, 0.003883495145631068, 0.0, 0.0, 0.005825242718446602, 0.001941747572815534, 0.003883495145631068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
jxxue-我们的能量快用完了吗？｜大英百科,"[0.4060665362035225, 0.25929549902152643, 0.162426614481409, 0.0684931506849315, 0.03816046966731898, 0.018590998043052837, 0.0136986301369863, 0.007827788649706457, 0.009784735812133072, 0.003913894324853229, 0.0029354207436399216, 0.0, 0.003913894324853229, 0.0, 0.0029354207436399216, 0.0, 0.0009784735812133072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009784735812133072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
qwwss-奥斯卡·王尔德短篇童话精选,"[0.2898550724637681, 0.20196353436185133, 0.08835904628330996, 0.09537166900420757, 0.07573632538569425, 0.05236091631603553, 0.043478260869565216, 0.02758298270219729, 0.02851799906498364, 0.021505376344086023, 0.014492753623188406, 0.012622720897615708, 0.009817671809256662, 0.0070126227208976155, 0.005142589995324918, 0.005610098176718092, 0.005142589995324918, 0.001402524544179523, 0.0037400654511453952, 0.001402524544179523, 0.0018700327255726976, 0.0018700327255726976, 0.0009350163627863488, 0.001402524544179523, 0.001402524544179523, 0.0, 0.0004675081813931744, 0.0009350163627863488, 0.0, 0.0]"
zfstu-813之谜（上）,"[0.2746196957566053, 0.23098478783026422, 0.133306645316253, 0.10288230584467574, 0.0688550840672538, 0.04683746997598078, 0.032025620496397116, 0.02642113690952762, 0.02121697357886309, 0.01200960768614892, 0.01120896717373899, 0.011609287429943955, 0.01200960768614892, 0.005204163330664532, 0.0028022417934347476, 0.0016012810248198558, 0.0020016012810248197, 0.0016012810248198558, 0.00040032025620496394, 0.00040032025620496394, 0.00040032025620496394, 0.00040032025620496394, 0.0, 0.00040032025620496394, 0.0, 0.00040032025620496394, 0.0, 0.00040032025620496394, 0.0, 0.0]"
bvowvg-芒果街上的小屋,"[0.47333333333333333, 0.2225, 0.04, 0.07333333333333333, 0.06, 0.04083333333333333, 0.02, 0.011666666666666667, 0.015, 0.009166666666666667, 0.006666666666666667, 0.005, 0.005, 0.0008333333333333334, 0.0025, 0.0008333333333333334, 0.004166666666666667, 0.0016666666666666668, 0.0008333333333333334, 0.0016666666666666668, 0.0008333333333333334, 0.0008333333333333334, 0.0, 0.0, 0.0008333333333333334, 0.0008333333333333334, 0.0008333333333333334, 0.0008333333333333334, 0.0, 0.0]"
pgjux-骨骼和肌肉：结构、力和运动｜大英百科,"[0.17748397435897437, 0.15705128205128205, 0.1594551282051282, 0.08653846153846154, 0.060897435897435896, 0.04567307692307692, 0.03445512820512821, 0.024839743589743588, 0.023637820512820512, 0.020432692307692308, 0.019631410256410256, 0.017628205128205128, 0.018830128205128204, 0.016826923076923076, 0.013621794871794872, 0.015625, 0.013221153846153846, 0.008012820512820512, 0.014022435897435898, 0.01282051282051282, 0.008413461538461538, 0.008814102564102564, 0.00921474358974359, 0.002403846153846154, 0.002403846153846154, 0.018028846153846152, 0.004006410256410256, 0.006009615384615385, 0.0, 0.0]"
pnwxs-彼得兔和他的朋友们（上）,"[0.4083044982698962, 0.2093425605536332, 0.03892733564013841, 0.08217993079584775, 0.07179930795847751, 0.05190311418685121, 0.025086505190311418, 0.023356401384083045, 0.018166089965397925, 0.01384083044982699, 0.010380622837370242, 0.00865051903114187, 0.007785467128027681, 0.004325259515570935, 0.004325259515570935, 0.0017301038062283738, 0.0034602076124567475, 0.006055363321799308, 0.0, 0.0017301038062283738, 0.0017301038062283738, 0.0008650519031141869, 0.0008650519031141869, 0.0008650519031141869, 0.0025951557093425604, 0.0008650519031141869, 0.0008650519031141869, 0.0, 0.0, 0.0]"
vftwp-八十天环游地球（下）,"[0.2777288732394366, 0.21434859154929578, 0.1289612676056338, 0.09419014084507042, 0.07526408450704225, 0.05501760563380282, 0.037411971830985914, 0.028169014084507043, 0.017605633802816902, 0.018926056338028168, 0.011003521126760563, 0.011003521126760563, 0.008802816901408451, 0.0048415492957746475, 0.0048415492957746475, 0.0017605633802816902, 0.002640845070422535, 0.0017605633802816902, 0.0008802816901408451, 0.0008802816901408451, 0.0013204225352112676, 0.00044014084507042255, 0.0008802816901408451, 0.0008802816901408451, 0.00044014084507042255, 0.0, 0.0, 0.0, 0.0, 0.0]"
bbpnia-现代技术｜大英百科,"[0.2613793103448276, 0.2193103448275862, 0.2413793103448276, 0.09172413793103448, 0.04482758620689655, 0.03586206896551724, 0.02413793103448276, 0.02482758620689655, 0.011724137931034483, 0.010344827586206896, 0.006896551724137931, 0.006896551724137931, 0.0034482758620689655, 0.004827586206896552, 0.004827586206896552, 0.001379310344827586, 0.002758620689655172, 0.000689655172413793, 0.000689655172413793, 0.0, 0.0, 0.001379310344827586, 0.0, 0.0, 0.0, 0.000689655172413793, 0.0, 0.0, 0.0, 0.0]"
bbepna-意大利与北方文艺复兴｜大英百科,"[0.25780274656679153, 0.21348314606741572, 0.2247191011235955, 0.09550561797752809, 0.05305867665418227, 0.04681647940074907, 0.033707865168539325, 0.019350811485642945, 0.01435705368289638, 0.008739076154806492, 0.009987515605493134, 0.00686641697877653, 0.0018726591760299626, 0.0018726591760299626, 0.003121098626716604, 0.0, 0.0012484394506866417, 0.0012484394506866417, 0.0012484394506866417, 0.0012484394506866417, 0.0012484394506866417, 0.0006242197253433209, 0.0006242197253433209, 0.0012484394506866417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
uifhg-海底两万里（下）,"[0.22893707785282616, 0.1983647351581941, 0.1389975115535016, 0.10309278350515463, 0.07358691788126555, 0.054745822964806255, 0.04372555990046214, 0.02630643441166015, 0.025950942054745824, 0.02523995734091717, 0.015286171347316033, 0.01457518663348738, 0.009953785993601137, 0.007820831852115179, 0.004265908282971916, 0.006043370067543548, 0.0028439388553146107, 0.004265908282971916, 0.0007109847138286527, 0.0035549235691432635, 0.002132954141485958, 0.001066477070742979, 0.0028439388553146107, 0.002132954141485958, 0.001066477070742979, 0.001066477070742979, 0.0007109847138286527, 0.0007109847138286527, 0.0, 0.0]"
bqtdvg-统计与概率｜大英百科,"[0.423943661971831, 0.2380281690140845, 0.19436619718309858, 0.04225352112676056, 0.030985915492957747, 0.018309859154929577, 0.009859154929577466, 0.009859154929577466, 0.0028169014084507044, 0.0014084507042253522, 0.008450704225352112, 0.004225352112676056, 0.004225352112676056, 0.0028169014084507044, 0.0028169014084507044, 0.0, 0.0014084507042253522, 0.0014084507042253522, 0.0, 0.0014084507042253522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014084507042253522, 0.0, 0.0, 0.0]"
dzubp-三个火枪手（二）,"[0.2742596810933941, 0.2173120728929385, 0.14123006833712984, 0.0938496583143508, 0.0674259681093394, 0.0469248291571754, 0.03143507972665148, 0.022779043280182234, 0.021867881548974944, 0.02232346241457859, 0.009567198177676537, 0.01275626423690205, 0.010022779043280182, 0.005466970387243736, 0.00592255125284738, 0.0036446469248291574, 0.0018223234624145787, 0.002277904328018223, 0.0009111617312072893, 0.0009111617312072893, 0.0009111617312072893, 0.0009111617312072893, 0.00045558086560364467, 0.0018223234624145787, 0.0009111617312072893, 0.00045558086560364467, 0.001366742596810934, 0.00045558086560364467, 0.0, 0.0]"
jbznc-现代欧洲的兴起｜大英百科,"[0.2521942656524283, 0.21357519016968987, 0.2334698654183733, 0.09596255119953188, 0.060854300760678756, 0.04505558806319485, 0.02633118782913985, 0.018139262726740785, 0.016383850204798128, 0.008191925102399064, 0.004095962551199532, 0.0052662375658279695, 0.0052662375658279695, 0.003510825043885313, 0.004095962551199532, 0.0005851375073142189, 0.0017554125219426564, 0.0011702750146284377, 0.0011702750146284377, 0.0005851375073142189, 0.0005851375073142189, 0.0011702750146284377, 0.0, 0.0, 0.0005851375073142189, 0.0, 0.0, 0.0, 0.0, 0.0]"
banjin-代数｜大英百科,"[0.44575471698113206, 0.24528301886792453, 0.18396226415094338, 0.049528301886792456, 0.014150943396226415, 0.01179245283018868, 0.01650943396226415, 0.014150943396226415, 0.0047169811320754715, 0.0023584905660377358, 0.0023584905660377358, 0.0023584905660377358, 0.0023584905660377358, 0.0023584905660377358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0023584905660377358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
qrqjg-科学的历史与发展｜大英百科,"[0.3209408194233687, 0.2306525037936267, 0.20409711684370258, 0.0834597875569044, 0.04931714719271624, 0.028072837632776935, 0.01896813353566009, 0.012139605462822459, 0.013657056145675266, 0.004552352048558422, 0.00834597875569044, 0.002276176024279211, 0.0015174506828528073, 0.0030349013657056147, 0.004552352048558422, 0.002276176024279211, 0.004552352048558422, 0.0015174506828528073, 0.0015174506828528073, 0.002276176024279211, 0.0015174506828528073, 0.0007587253414264037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
lfxou-格林童话 | 译林有声双语,"[0.4716202270381837, 0.21362229102167182, 0.058823529411764705, 0.08668730650154799, 0.0629514963880289, 0.0392156862745098, 0.021671826625386997, 0.010319917440660475, 0.010319917440660475, 0.013415892672858616, 0.0041279669762641896, 0.0020639834881320948, 0.0010319917440660474, 0.0, 0.0, 0.0010319917440660474, 0.0010319917440660474, 0.0, 0.0, 0.0, 0.0, 0.0010319917440660474, 0.0, 0.0, 0.0, 0.0010319917440660474, 0.0, 0.0, 0.0, 0.0]"
busvce-福尔摩斯探案故事 | 有声书虫（2级）,"[0.8720238095238095, 0.09821428571428571, 0.008928571428571428, 0.002976190476190476, 0.008928571428571428, 0.005952380952380952, 0.0, 0.0, 0.0, 0.0, 0.002976190476190476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
asyse-远大前程 | 有声书虫（5级）,"[0.6242171189979123, 0.25156576200417535, 0.05636743215031315, 0.03653444676409186, 0.018789144050104383, 0.005219206680584551, 0.005219206680584551, 0.0010438413361169101, 0.0010438413361169101, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
fyjtq-呼啸山庄 | 有声书虫（5级）,"[0.6345475910693302, 0.23736780258519388, 0.05170387779083431, 0.03760282021151586, 0.02937720329024677, 0.0035252643948296123, 0.0023501762632197414, 0.0, 0.0011750881316098707, 0.0011750881316098707, 0.0011750881316098707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
