word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,VERB
honest,3,0,0,0,0,0,0,0
glass,0,0,0,0,0,4,0,0
eyesight,0,0,0,0,0,1,0,0
proper,1,0,0,0,0,0,0,0
evil,5,0,0,0,0,2,0,0
soul,0,0,0,0,0,3,0,0
ugly,1,0,0,0,0,0,0,0
leer,0,0,0,0,0,1,0,0
doubt,0,0,0,0,0,1,0,0
fix,0,0,0,0,0,0,0,2
firmly,0,0,1,0,0,0,0,0
nose,0,0,0,0,0,2,0,0
inkstand,0,0,0,0,0,3,0,0
critical,1,0,0,0,0,0,0,0
moment,0,0,0,0,0,7,0,0
fate,0,0,0,0,0,2,0,0
dip,0,0,0,0,0,0,0,1
pen,0,0,0,0,0,1,0,0
sign,0,0,0,0,0,4,0,3
paper,0,0,0,0,0,10,0,0
hurry,0,0,0,0,0,0,0,3
search,0,0,0,0,0,0,0,2
land,0,0,0,0,0,1,0,3
frightened,3,0,0,0,0,0,0,0
wrong,3,0,0,0,0,0,0,0
burst,0,0,0,0,0,0,0,4
knee,0,0,0,0,0,2,0,0
clasp,0,0,0,0,0,0,0,1
beg,0,0,0,0,0,0,0,8
beat,0,0,0,0,0,0,0,3
home,0,0,12,0,0,8,0,0
dreadful,1,0,0,0,0,0,0,0
parchment,0,0,0,0,0,1,0,0
deal,0,0,0,0,0,2,0,0
strike,0,0,0,0,0,0,0,6
away,0,0,26,0,0,0,0,0
morning,0,0,0,0,0,5,0,0
declare,0,0,0,0,0,0,0,3
theirs,1,0,0,0,0,0,0,0
sum,0,0,0,0,0,4,0,0
undertaker,0,0,0,0,0,2,0,0
inquire,0,0,0,0,0,0,0,1
board,0,0,0,0,0,2,0,0
coffin,0,0,0,0,0,5,0,0
allow,0,0,0,0,0,0,0,4
complain,0,0,0,0,0,0,0,2
return,0,0,0,0,0,0,0,10
sea,0,0,0,0,0,1,0,0
case,0,0,0,0,0,2,0,0
drown,0,0,0,0,0,0,0,1
knock,0,0,0,0,0,2,0,6
bag,0,0,0,0,0,7,0,0
workplace,0,0,0,0,0,1,0,0
greet,0,0,0,0,0,0,0,2
wife,0,0,0,0,0,2,0,0
worth,5,1,0,0,0,0,0,0
open,1,1,0,0,0,0,0,7
cellar,0,0,0,0,0,3,0,0
door,0,0,0,0,0,36,0,0
bone,0,0,0,0,0,1,0,0
push,0,0,0,0,0,0,0,7
steep,1,0,0,0,0,0,0,0
flight,0,0,0,0,0,1,0,0
stair,0,0,0,0,0,4,0,0
coal,0,0,0,0,0,1,0,0
kitchen,0,0,0,0,0,1,0,0
girl,0,0,0,0,0,7,0,0
table,0,0,0,0,0,7,0,0
darn,0,0,0,0,0,0,0,1
sock,0,0,0,0,0,2,0,0
chip,0,0,0,0,0,1,0,0
set,0,0,0,0,0,0,0,4
devour,0,0,0,0,0,0,0,1
dog,0,0,0,0,0,8,0,0
hesitate,0,0,0,0,0,0,0,6
finish,0,0,0,0,0,0,0,5
future,2,0,0,0,0,4,0,0
husband,0,0,0,0,0,3,0,0
mind,0,0,0,0,0,2,0,1
sleep,0,0,0,0,0,2,0,6
laugh,0,0,0,0,0,1,0,6
point,0,0,0,0,0,1,0,5
thin,1,0,0,0,0,0,0,0
mattress,0,0,0,0,0,1,0,0
counter,0,0,0,0,0,1,0,0
matter,0,0,0,0,0,1,0,1
bit,0,0,0,0,0,2,0,0
choice,0,0,0,0,0,4,0,0
obey,0,0,0,0,0,0,0,1
event,0,0,0,0,0,1,0,0
petty,1,0,0,0,0,0,0,0
change,0,0,0,0,0,0,0,2
evening,0,0,0,0,0,11,0,0
jealous,1,0,0,0,0,0,0,0
attention,0,0,0,0,0,1,0,0
tease,0,0,0,0,0,0,0,1
usual,1,0,0,0,0,0,0,0
hateful,1,0,0,0,0,0,0,0
dead,13,0,0,0,0,0,0,0
reply,0,0,0,0,0,0,0,14
breathe,0,0,0,0,0,0,0,2
broken,4,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,8
stream,0,0,0,0,0,0,0,2
sniffle,0,0,0,0,0,0,0,1
bad,14,0,0,0,0,0,0,0
good,20,0,0,0,0,0,0,0
probably,0,0,1,0,0,0,0,0
crimson,0,0,0,0,0,1,0,0
