word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,SYM,VERB,X
conduct,0,0,0,0,0,0,1,0,0,0,0,0,1,0
worthy,13,0,0,0,0,0,0,0,0,0,0,0,0,0
lean,1,0,0,0,0,0,0,0,0,0,0,0,3,0
press,0,0,0,0,0,0,0,0,0,0,0,0,6,0
lip,0,0,0,0,0,0,7,0,0,0,0,0,0,0
wet,4,0,0,0,0,0,0,0,0,0,0,0,0,0
tear,0,0,0,0,0,0,3,0,0,0,0,0,5,0
hardly,0,0,12,0,0,0,0,0,0,0,0,0,0,0
share,0,0,0,0,0,0,5,0,0,0,0,0,3,0
welcome,1,0,0,0,0,0,1,0,0,0,0,0,2,0
regret,0,0,0,0,0,0,0,0,0,0,0,0,7,0
shake,0,0,0,0,0,0,0,0,0,0,0,0,13,0
hand,0,0,0,0,0,0,59,0,0,0,0,0,1,0
brave,12,0,0,0,0,0,0,0,0,0,0,0,2,0
generous,2,0,0,0,0,0,0,0,0,0,0,0,0,0
soon,0,0,45,0,0,0,0,0,0,0,0,0,0,0
slip,0,0,0,0,0,0,0,0,0,0,0,0,3,0
away,0,5,41,0,0,0,0,0,0,0,0,0,0,0
cabin,0,0,0,0,0,0,12,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,0,31,0
shave,0,0,0,0,0,0,0,0,0,0,0,0,1,0
coolly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
composedly,0,0,1,0,0,0,0,0,0,0,0,0,0,0
possible,14,0,0,0,0,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0,0,0,13,0
like,1,63,0,0,0,0,0,0,0,0,0,0,13,0
bee,0,0,0,0,0,0,2,0,0,0,0,0,0,0
sip,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sweet,1,0,0,0,0,0,1,0,0,0,0,0,0,0
compliment,0,0,0,0,0,0,7,0,0,0,0,0,1,0
smile,0,0,0,0,0,0,2,0,0,0,0,0,3,0
want,0,0,0,0,0,0,3,0,0,0,0,0,22,0
yacht,0,0,0,0,0,0,35,0,0,0,0,0,0,0
wind,0,0,0,0,0,0,29,0,0,0,0,0,7,0
steward,0,0,0,0,0,0,2,0,0,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,0,0,0,1,0
polite,1,0,0,0,0,0,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,0,6,0,0,0,0,0,0,0
announce,0,0,0,0,0,0,0,0,0,0,0,0,12,0
breakfast,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ready,28,0,0,0,0,0,0,0,0,0,0,0,0,0
yes,0,0,0,0,0,51,0,0,0,0,0,0,0,0
real,3,0,0,0,0,0,0,0,0,0,0,0,0,0
table,0,0,0,0,0,0,8,0,0,0,0,0,0,0
cloth,0,0,0,0,0,0,2,0,0,0,0,0,0,0
napkin,0,0,0,0,0,0,1,0,0,0,0,0,0,0
certainly,0,0,21,0,0,0,0,0,0,0,0,0,0,0
shall,0,0,0,33,0,0,0,0,0,0,0,0,0,0
hard,7,0,0,0,0,0,0,0,0,0,0,0,0,0
egg,0,0,0,0,0,0,2,0,0,0,0,0,0,0
fillet,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ostrich,0,0,0,0,0,0,1,0,0,0,0,0,0,0
aggrieved,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tone,0,0,0,0,0,0,16,0,0,0,0,0,0,0
hurt,0,0,0,0,0,0,0,0,0,0,0,0,2,0
feeling,0,0,0,0,0,0,6,0,0,0,0,0,0,0
geographer,0,0,0,0,0,0,30,0,0,0,0,0,0,0
month,0,0,0,0,0,0,18,0,0,0,0,0,0,0
usual,7,0,0,0,0,0,0,0,0,0,0,0,0,0
bill,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fare,0,0,0,0,0,0,2,0,0,0,0,0,0,0
dine,0,0,0,0,0,0,0,0,0,0,0,0,3,0
stretch,0,0,0,0,0,0,5,0,0,0,0,0,9,0
length,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ground,1,0,0,0,0,0,32,0,0,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,0,6,0
astride,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tree,0,0,0,0,0,0,61,0,0,0,0,0,0,0
consequently,0,0,20,0,0,0,0,0,0,0,0,0,0,0
meal,0,0,0,0,0,0,9,0,0,0,0,0,0,0
dream,0,0,0,0,0,0,2,0,0,0,0,0,0,0
fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chimera,0,0,0,0,0,0,1,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,0,42,0
prove,0,0,0,0,0,0,0,0,0,0,0,0,10,0
reality,0,0,0,0,0,0,2,0,0,0,0,0,0,0
help,0,0,0,0,0,0,8,0,0,0,0,0,11,0
laugh,0,0,0,0,0,0,2,0,0,0,0,0,9,0
reply,0,0,0,0,0,0,19,0,0,0,0,0,133,0
gallant,1,0,0,0,0,0,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,34,0,0,0,0,0,3,0
ask,0,0,0,0,0,0,0,0,0,0,0,0,75,0
discuss,0,0,0,0,0,0,0,0,0,0,0,0,3,0
program,0,0,0,0,0,0,2,0,0,0,0,0,0,0
famille,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fete,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hungry,2,0,0,0,0,0,0,0,0,0,0,0,0,0
guest,0,0,0,0,0,0,7,0,0,0,0,0,0,0
pronounce,0,0,0,0,0,0,0,0,0,0,0,0,4,0
excellent,7,0,0,0,0,0,0,0,0,0,0,0,0,0
superior,4,0,0,0,0,0,0,0,0,0,0,0,0,0
festivity,0,0,0,0,0,0,1,0,0,0,0,0,0,0
