word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
shiver,0,0,0,0,0,0,2,0,0,0,0,0,1,0
run,0,0,0,0,0,0,4,0,0,0,0,0,63,0
sound,1,0,2,0,0,0,16,0,0,0,0,0,4,0
ghost,0,0,0,0,0,0,2,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,0,16,0
understand,0,0,0,0,0,0,0,0,0,0,0,0,8,0
rest,0,0,0,0,0,0,10,0,0,0,0,0,12,0
easy,17,0,14,0,0,0,0,0,0,0,0,0,0,0
grave,0,0,0,0,0,0,2,0,0,0,0,0,0,0
night,0,0,0,0,0,0,92,0,0,0,0,0,0,0
grieve,0,0,0,0,0,0,0,0,0,0,0,0,1,0
downhearted,2,0,0,0,0,0,0,0,0,0,0,0,0,0
scared,14,0,0,0,0,0,0,0,0,0,0,0,0,0
company,0,0,0,0,0,0,3,0,0,0,0,0,0,0
spider,0,0,0,0,0,0,3,0,0,0,0,0,0,0
crawl,0,0,0,0,0,0,0,0,0,0,0,0,14,0
shoulder,0,0,0,0,0,0,14,0,0,0,0,0,1,0
flip,0,0,0,0,0,0,0,0,0,0,0,0,1,0
budge,0,0,0,0,0,0,0,0,0,0,0,0,5,0
shrivel,0,0,0,0,0,0,0,0,0,0,0,0,2,0
need,0,0,0,0,0,0,0,0,0,0,0,0,4,0
sign,0,0,0,0,0,0,21,0,0,0,0,0,5,0
luck,0,0,0,0,0,0,28,0,0,0,0,0,0,0
shake,0,0,0,0,0,0,1,0,0,0,0,0,12,0
turn,0,0,0,0,0,0,3,0,0,0,0,0,32,0
track,0,0,0,0,0,0,13,0,0,0,0,0,2,0
cross,1,0,0,0,0,0,3,0,0,0,0,0,9,0
breast,0,0,0,0,0,0,8,0,0,0,0,0,0,0
tie,0,0,0,0,0,0,0,0,0,0,0,0,19,0
lock,0,0,0,0,0,0,2,0,0,0,0,0,9,0
hair,0,0,0,0,0,0,23,0,0,0,0,0,0,0
thread,0,0,0,0,0,0,5,0,0,0,0,0,3,0
witch,0,0,0,0,0,0,7,0,0,0,0,0,0,0
