word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,VERB,X
wenada,0,0,0,0,0,0,0,0,0,0,0,1
deliver,0,0,0,0,0,0,0,0,0,0,1,0
hail,0,0,0,0,0,0,0,0,0,0,1,0
thee,0,0,0,0,0,0,0,0,2,0,0,0
smile,0,0,0,0,0,0,3,0,0,0,20,0
steam,0,0,0,0,0,0,1,0,0,0,1,0
pressure,0,0,0,0,0,0,1,0,0,0,0,0
coffee,0,0,0,0,0,0,4,0,0,0,0,0
machine,0,0,0,0,0,0,2,0,0,0,0,0
barman,0,0,0,0,0,0,5,0,0,0,0,0
otro,1,0,0,0,0,0,0,0,0,0,0,1
loco,0,0,0,0,0,0,0,0,0,0,0,1
mas,0,0,0,0,0,0,0,0,0,0,0,1
cup,0,0,0,0,0,0,3,0,0,0,0,0
bright,37,0,0,0,0,0,0,0,0,0,0,0
unpolished,1,0,0,0,0,0,0,0,0,0,0,0
answer,0,0,0,0,0,0,0,0,0,0,4,0
copita,0,0,0,0,0,0,1,0,0,0,0,0
dislike,0,0,0,0,0,0,0,0,0,0,2,0
lighted,1,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,70,0
room,0,0,0,0,0,0,36,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,21,0
finally,0,0,5,0,0,0,0,0,0,0,0,0
daylight,0,0,0,0,0,0,4,0,0,0,0,0
sleep,0,0,0,0,0,0,4,0,0,0,4,0
probably,0,0,10,0,0,0,0,0,0,0,0,0
insomnia,0,0,0,0,0,0,1,0,0,0,0,0
hill,0,0,0,0,0,0,7,0,0,0,0,0
valley,0,0,0,0,0,0,2,0,0,0,0,0
white,25,0,0,0,0,0,0,0,0,0,0,0
shade,0,0,0,0,0,0,9,0,0,0,1,0
station,0,0,0,0,0,0,8,0,0,0,0,0
line,0,0,0,0,0,0,5,0,0,0,0,0
rail,0,0,0,0,0,0,1,0,0,0,0,0
sun,0,0,0,0,0,0,4,0,0,0,0,0
warm,3,0,0,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,2,0,0,0,0,0
curtain,0,0,0,0,0,0,8,0,0,0,0,0
string,0,0,0,0,0,0,2,0,0,0,1,0
bamboo,0,0,0,0,0,0,1,0,0,0,0,0
bead,0,0,0,0,0,0,6,0,0,0,0,0
fly,0,0,0,0,0,0,3,0,0,0,1,0
outside,0,3,6,0,0,0,0,0,0,0,0,0
hot,13,0,0,0,0,0,0,0,0,0,0,0
express,0,0,0,0,0,0,1,0,0,0,1,0
junction,0,0,0,0,0,0,2,0,0,0,0,0
hat,0,0,0,0,0,0,8,0,0,0,0,0
pretty,3,0,4,0,0,0,0,0,0,0,0,0
beer,0,0,0,0,0,0,10,0,0,0,0,0
dos,0,0,0,0,0,0,0,0,0,0,0,1
cervezas,0,0,0,0,0,0,0,0,0,0,0,1
big,41,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,5,0,0,0,0,0
woman,0,0,0,0,0,0,36,0,0,0,0,0
doorway,0,0,0,0,0,0,4,0,0,0,0,0
yes,0,0,0,0,0,39,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,16,0
felt,0,0,0,0,0,0,4,0,0,0,0,0
pad,0,0,0,0,0,0,3,0,0,0,0,0
country,0,0,0,0,0,0,8,0,0,0,0,0
brown,5,0,0,0,0,0,0,0,0,0,0,0
dry,9,0,0,0,0,0,0,0,0,0,2,0
elephant,0,0,0,0,0,0,5,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,48,0
prove,0,0,0,0,0,0,0,0,0,0,2,0
paint,0,0,0,0,0,0,0,0,0,0,1,0
call,0,0,0,0,0,0,0,0,0,0,13,0
listen,0,0,0,0,0,0,0,0,0,0,10,0
reales,0,0,0,0,0,0,0,0,0,0,0,1
water,0,0,0,0,0,0,23,0,0,0,0,0
right,25,0,33,0,0,0,2,0,0,0,0,0
taste,0,0,0,0,0,0,1,0,0,0,2,0
licorice,0,0,0,0,0,0,2,0,0,0,0,0
way,0,0,1,0,0,0,42,0,0,0,0,0
especially,0,0,1,0,0,0,0,0,0,0,0,0
absinthe,0,0,0,0,0,0,1,0,0,0,0,0
start,0,0,0,0,0,0,1,0,0,0,22,0
amuse,0,0,0,0,0,0,0,0,0,0,3,0
have,0,0,0,0,0,0,0,0,0,0,10,0
fine,17,0,0,0,0,0,1,0,0,0,1,0
mountain,0,0,0,0,0,0,2,0,0,0,0,0
new,7,0,0,0,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,0,0,0,0,6,0
lovely,5,0,0,0,0,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,1,0,0,0,23,0
coloring,0,0,0,0,0,0,1,0,0,0,0,0
skin,0,0,0,0,0,0,4,0,0,0,4,0
blow,0,0,0,0,0,0,2,0,0,0,14,0
nice,12,0,0,0,0,0,0,0,0,0,0,0
cool,3,0,0,0,0,0,0,0,0,0,1,0
awfully,0,0,7,0,0,0,0,0,0,0,0,0
simple,5,0,0,0,0,0,0,0,0,0,0,0
operation,0,0,0,0,0,0,3,0,0,0,0,0
ground,0,0,0,0,0,0,8,0,0,0,0,0
leg,0,0,0,0,0,0,14,0,0,0,0,0
rest,0,0,0,0,0,0,1,0,0,0,3,0
mind,0,0,0,0,0,0,3,0,0,0,4,0
air,0,0,0,0,0,0,6,0,0,0,0,0
perfectly,0,0,9,0,0,0,0,0,0,0,0,0
natural,4,0,0,0,0,0,0,0,0,0,0,0
afterward,0,0,4,0,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,6,0
bother,0,0,0,0,0,0,0,0,0,0,4,0
unhappy,1,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,24,0,0,0,4,0
hold,0,0,0,0,0,0,4,0,0,0,24,0
happy,8,0,0,0,0,0,0,0,0,0,0,0
afraid,21,0,0,0,0,0,0,0,0,0,0,0
lot,0,0,0,0,0,0,11,0,0,0,0,0
love,0,0,0,0,0,0,1,0,0,0,9,0
worry,0,0,0,0,0,0,0,0,0,0,14,0
care,0,0,0,0,0,0,0,0,0,0,8,0
end,0,0,0,0,0,0,10,0,0,0,5,0
field,0,0,0,0,0,0,5,0,0,0,0,0
grain,0,0,0,0,0,0,3,0,0,0,0,0
bank,0,0,0,0,0,0,14,0,0,1,0,0
far,7,0,12,0,0,0,0,0,0,0,0,0
river,0,0,0,0,0,0,7,0,0,0,0,0
cloud,0,0,0,0,0,0,2,0,0,0,0,0
impossible,3,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,4,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,0,0,8,0
maybe,0,0,8,0,0,0,0,0,0,0,0,0
willing,1,0,0,0,0,0,0,0,0,0,0,0
anybody,0,0,0,0,0,0,0,0,2,0,0,0
bag,0,0,0,0,0,0,5,0,0,0,0,0
label,0,0,0,0,0,0,1,0,0,0,0,0
hotel,0,0,0,0,0,0,10,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,1,0
scream,0,0,0,0,0,0,0,0,0,0,1,0
damp,1,0,0,0,0,0,0,0,0,0,0,0
train,0,0,0,0,0,0,6,0,0,0,0,0
brightly,0,0,1,0,0,0,0,0,0,0,0,0
heavy,17,0,0,0,0,0,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,13,0
track,0,0,0,0,0,0,5,0,0,0,0,0
barroom,0,0,0,0,0,0,1,0,0,0,0,0
reasonably,0,0,1,0,0,0,0,0,0,0,0,0
wrong,4,0,1,0,0,0,0,0,0,0,0,0
lunch,0,0,0,0,0,0,7,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,21,0
dark,11,0,0,0,0,0,0,0,0,0,0,0
window,0,0,0,0,0,0,11,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,22,0
menu,0,0,0,0,0,0,1,0,0,0,0,0
roast,0,0,0,0,0,0,1,0,0,0,0,0
pork,0,0,0,0,0,0,1,0,0,0,0,0
tenderloin,0,0,0,0,0,0,1,0,0,0,0,0
apple,0,0,0,0,0,0,3,0,0,0,0,0
sauce,0,0,0,0,0,0,2,0,0,0,0,0
mash,0,0,0,0,0,0,0,0,0,0,3,0
potato,0,0,0,0,0,0,4,0,0,0,0,0
ready,7,0,0,0,0,0,0,0,0,0,0,0
hell,0,0,0,0,0,0,25,0,0,0,0,0
card,0,0,0,0,0,0,1,0,0,0,0,0
dinner,0,0,0,0,0,0,8,0,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,0,4,0
clock,0,0,0,0,0,0,8,0,0,0,0,0
second,14,0,0,0,0,0,1,0,0,0,0,0
fast,4,0,3,0,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,0,3,0,0,0,0,0
ham,0,0,0,0,0,0,7,0,0,0,0,0
egg,0,0,0,0,0,0,11,0,0,0,0,0
bacon,0,0,0,0,0,0,5,0,0,0,0,0
liver,0,0,0,0,0,0,3,0,0,0,0,0
steak,0,0,0,0,0,0,2,0,0,0,0,0
chicken,0,0,0,0,0,0,2,0,0,0,0,0
croquette,0,0,0,0,0,0,1,0,0,0,0,0
green,6,0,0,0,0,0,0,0,0,0,0,0
pea,0,0,0,0,0,0,1,0,0,0,0,0
cream,0,0,0,0,0,0,1,0,0,0,0,0
derby,0,0,0,0,0,0,3,0,0,0,0,0
black,13,0,0,0,0,0,2,0,0,0,0,0
overcoat,0,0,0,0,0,0,4,0,0,0,0,0
button,0,0,0,0,0,0,0,0,0,0,2,0
chest,0,0,0,0,0,0,2,0,0,0,0,0
face,0,0,0,0,0,0,35,0,0,0,4,0
small,9,0,0,0,0,0,0,0,0,0,0,0
tight,6,0,8,0,0,0,0,0,0,0,0,0
lip,0,0,0,0,0,0,2,0,0,0,0,0
silk,0,0,0,0,0,0,1,0,0,0,0,0
muffler,0,0,0,0,0,0,1,0,0,0,0,0
glove,0,0,0,0,0,0,2,0,0,0,0,0
size,0,0,0,0,0,0,2,0,0,0,0,0
twin,0,0,0,0,0,0,1,0,0,0,0,0
lean,0,0,0,0,0,0,0,0,0,0,5,0
forward,0,0,24,0,0,0,0,0,0,0,0,0
