word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB
cliff,0,0,0,0,0,5,0,0,0
slow,0,0,0,0,0,0,0,0,1
rock,0,0,0,0,0,5,0,0,0
explain,0,0,0,0,0,0,0,0,1
water,0,0,0,0,0,1,0,0,0
careful,1,0,0,0,0,0,0,0,0
please,0,0,0,0,0,0,0,0,2
visitor,0,0,0,0,0,3,0,0,0
quiet,2,0,0,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,5
arrive,0,0,0,0,0,0,0,0,2
follow,0,0,0,0,0,0,0,0,3
tree,0,0,0,0,0,7,0,0,0
inside,0,1,0,0,0,0,0,0,0
housekeeper,0,0,0,0,0,2,0,0,0
gardener,0,0,0,0,0,3,0,0,0
little,1,0,0,0,0,0,0,0,0
short,4,0,0,0,0,0,0,0,0
stair,0,0,0,0,0,2,0,0,0
dinner,0,0,0,0,0,1,0,0,0
eat,0,0,0,0,0,0,0,0,2
kitchen,0,0,0,0,0,4,0,0,0
hospital,0,0,0,0,0,3,0,0,0
paint,0,0,0,0,0,0,0,0,5
upstairs,0,0,3,0,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,4
meal,0,0,0,0,0,1,0,0,0
office,0,0,0,0,0,6,0,0,0
surprised,4,0,0,0,0,0,0,0,0
moustache,0,0,0,0,0,4,0,0,0
glass,0,0,0,0,0,2,0,0,0
talk,0,0,0,0,0,0,0,0,2
book,0,0,0,0,0,3,0,0,0
paper,0,0,0,0,0,1,0,0,0
carefully,0,0,2,0,0,0,0,0,0
second,0,0,0,0,0,2,0,0,0
late,0,0,1,0,0,0,0,0,0
night,0,0,0,0,0,7,0,0,0
difference,0,0,0,0,0,1,0,0,0
yes,0,0,0,0,14,0,0,0,0
use,0,0,0,0,0,0,0,0,1
farmhouse,0,0,0,0,0,1,0,0,0
animal,0,0,0,0,0,1,0,0,0
sheep,0,0,0,0,0,2,0,0,0
cow,0,0,0,0,0,3,0,0,0
chicken,0,0,0,0,0,3,0,0,0
horse,0,0,0,0,0,3,0,0,0
grey,2,0,0,0,0,0,0,0,0
ride,0,0,0,0,0,0,0,0,5
grow,0,0,0,0,0,0,0,0,1
vegetable,0,0,0,0,0,1,0,0,0
fruit,0,0,0,0,0,1,0,0,0
weather,0,0,0,0,0,1,0,0,0
hot,2,0,0,0,0,0,0,0,0
sunny,1,0,0,0,0,0,0,0,0
farmer,0,0,0,0,0,2,0,0,0
twice,0,0,1,0,0,0,0,0,0
hill,0,0,0,0,0,2,0,0,0
friendly,2,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,1,0,0,0
afternoon,0,0,0,0,0,1,0,0,0
lazy,1,0,0,0,0,0,0,0,0
riding,0,0,0,0,0,1,0,0,0
way,0,0,0,0,0,1,0,0,0
try,0,0,0,0,0,0,0,0,2
suddenly,0,0,2,0,0,0,0,0,0
face,0,0,0,0,0,13,0,0,0
move,0,0,0,0,0,0,0,0,4
write,0,0,0,0,0,0,0,0,1
bed,0,0,0,0,0,3,0,0,0
hard,0,0,1,0,0,0,0,0,0
wife,0,0,0,0,0,4,0,0,0
belong,0,0,0,0,0,0,0,0,1
walk,0,0,0,0,0,0,0,0,9
swim,0,0,0,0,0,0,0,0,3
stay,0,0,0,0,0,0,0,0,2
camera,0,0,0,0,0,8,0,0,0
photograph,0,0,0,0,0,10,0,0,0
bird,0,0,0,0,0,1,0,0,0
keep,0,0,0,0,0,0,0,0,1
run,0,0,0,0,0,0,0,0,4
grass,0,0,0,0,0,1,0,0,0
surprise,0,0,0,0,0,1,0,0,0
give,0,0,0,0,0,0,0,0,1
film,0,0,0,0,0,5,0,0,0
hey,0,0,0,0,1,0,0,0,0
spoil,0,0,0,0,0,0,0,0,2
pocket,0,0,0,0,0,2,0,0,0
turn,0,0,0,0,0,0,0,0,7
early,0,0,2,0,0,0,0,0,0
read,0,0,0,0,0,0,0,0,1
half,0,0,0,1,0,0,0,0,0
hour,0,0,0,0,0,1,0,0,0
tired,1,0,0,0,0,0,0,0,0
reading,0,0,0,0,0,1,0,0,0
rain,0,0,0,0,0,3,0,0,1
passage,0,0,0,0,0,8,0,0,0
corner,0,0,0,0,0,2,0,0,0
end,0,0,0,0,0,2,0,0,0
large,1,0,0,0,0,0,0,0,0
plant,0,0,0,0,0,4,0,0,0
pot,0,0,0,0,0,3,0,0,0
handle,0,0,0,0,0,1,0,0,0
lock,0,0,0,0,0,0,0,0,11
round,0,0,3,0,0,0,0,0,0
secret,0,0,0,0,0,5,0,0,0
somebody,0,0,0,0,0,0,0,6,0
important,2,0,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,0,1
play,0,0,0,0,0,0,0,0,2
detective,0,0,0,0,0,1,0,0,0
storm,0,0,0,0,0,3,0,0,0
middle,0,0,0,0,0,2,0,0,0
sleep,0,0,0,0,0,0,0,0,4
black,1,0,0,0,0,0,0,0,0
cloud,0,0,0,0,0,1,0,0,0
hurry,0,0,0,0,0,0,0,0,1
sky,0,0,0,0,0,1,0,0,0
wildly,0,0,1,0,0,0,0,0,0
wind,0,0,0,0,0,2,0,0,0
loud,1,0,0,0,0,0,0,0,0
noise,0,0,0,0,0,2,0,0,0
head,0,0,0,0,0,1,0,0,0
light,0,0,0,0,0,6,0,0,1
dressing,0,0,0,0,0,2,0,0,0
gown,0,0,0,0,0,2,0,0,0
afraid,6,0,0,0,0,0,0,0,0
lightning,0,0,0,0,0,1,0,0,0
key,0,0,0,0,0,2,0,0,0
past,0,0,1,0,0,0,0,0,0
shake,0,0,0,0,0,0,0,0,2
morning,0,0,0,0,0,1,0,0,0
egg,0,0,0,0,0,1,0,0,0
box,0,0,0,0,0,1,0,0,0
milk,0,0,0,0,0,0,0,0,1
breakfast,0,0,0,0,0,2,0,0,0
wake,0,0,0,0,0,0,0,0,1
hand,0,0,0,0,0,3,0,0,0
unlock,0,0,0,0,0,0,0,0,1
coloured,1,0,0,0,0,0,0,0,0
shirt,0,0,0,0,0,1,0,0,0
suit,0,0,0,0,0,2,0,0,0
guitar,0,0,0,0,0,5,0,0,0
poster,0,0,0,0,0,6,0,0,0
dead,4,0,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,1
doorway,0,0,0,0,0,1,0,0,0
believe,0,0,0,0,0,0,0,0,4
brother,0,0,0,0,0,2,0,0,0
thousand,0,0,0,0,0,1,0,0,0
quietly,0,0,1,0,0,0,0,0,0
star,0,0,0,0,0,2,0,0,0
real,1,0,0,0,0,0,0,0,0
sister,0,0,0,0,0,1,0,0,0
drink,0,0,0,0,0,0,0,0,1
alcohol,0,0,0,0,0,1,0,0,0
drunk,3,0,0,0,0,0,0,0,0
terrible,1,0,0,0,0,0,0,0,0
crazy,1,0,0,0,0,0,0,0,0
story,0,0,0,0,0,2,0,0,0
drive,0,0,0,0,0,0,0,0,2
hit,0,0,0,0,0,0,0,0,1
kill,0,0,0,0,0,0,0,0,5
plan,0,0,0,0,0,2,0,0,0
alive,2,0,0,0,0,0,0,0,0
fake,0,0,0,0,0,0,0,0,3
clothe,0,0,0,0,0,1,0,0,0
push,0,0,0,0,0,0,0,0,1
burn,0,0,0,0,0,0,0,0,2
change,0,0,0,0,0,0,0,0,2
sing,0,0,0,0,0,0,0,0,1
anybody,0,0,0,0,0,0,0,2,0
well,1,0,0,0,0,0,0,0,0
