word,ADJ,ADP,ADV,AUX,CCONJ,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
age,0,0,0,0,0,0,3,0,0,0,0,0
want,0,0,0,0,0,0,2,0,0,0,55,0
shelf,0,0,0,0,0,0,4,0,0,0,0,0
point,0,0,0,0,0,0,2,0,0,0,4,0
tip,0,0,0,0,0,0,1,0,0,0,0,0
knife,0,0,0,0,0,0,6,0,0,0,0,0
letter,0,0,0,0,0,0,3,0,0,0,0,0
cover,0,0,0,0,0,0,1,0,0,0,5,0
ask,0,0,0,0,0,0,0,0,0,0,64,0
answer,0,0,0,0,0,0,3,0,0,0,26,0
awkward,2,0,0,0,0,0,0,0,0,0,0,0
hurt,1,0,0,0,0,0,0,0,0,0,10,0
offended,2,0,0,0,0,0,0,0,0,0,0,0
avoid,0,0,0,0,0,0,0,0,0,0,2,0
sound,0,0,0,0,0,0,14,0,0,0,11,0
soft,9,0,0,0,0,0,0,0,0,0,0,0
calm,5,0,0,0,0,0,2,0,0,0,0,0
ear,0,0,0,0,0,0,9,0,0,0,0,0
askance,0,0,0,0,0,0,2,0,0,0,0,0
second,2,0,0,0,0,0,1,0,0,0,1,0
earnest,3,0,0,0,0,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,1,0,0,0,5,0
teach,0,0,0,0,0,0,0,0,0,0,7,0
involuntary,1,0,0,0,0,0,0,0,0,0,0,0
respond,0,0,0,0,0,0,0,0,0,0,6,0
try,0,0,0,0,0,0,0,0,0,0,11,0
know,0,0,0,0,0,0,0,0,0,0,68,0
easily,0,0,2,0,0,0,0,0,0,0,0,0
miracle,0,0,0,0,0,0,2,0,0,0,0,0
ill,2,0,0,0,0,0,0,0,0,0,0,0
well,7,0,11,0,0,0,0,0,0,0,0,0
saint,0,0,0,0,0,0,1,0,0,0,0,0
sacred,4,0,0,0,0,0,0,0,0,0,0,0
image,0,0,0,0,0,0,3,0,0,0,0,0
proverb,0,0,0,0,0,0,2,0,0,0,0,0
galore,1,0,0,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,2,0,0,0,0,0
sleep,0,0,0,0,0,0,1,0,0,0,6,0
material,0,0,0,0,0,0,2,0,0,0,0,0
stomach,0,0,0,0,0,0,5,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,7,0
bridle,0,0,0,0,0,0,1,0,0,0,0,0
soul,0,0,0,0,0,0,19,0,0,0,0,0
able,6,0,0,0,0,0,0,0,0,0,0,0
control,0,0,0,0,0,0,1,0,0,0,1,0
need,0,0,0,2,0,0,5,0,0,0,12,0
rest,0,0,0,0,0,0,5,0,0,0,6,0
freedom,0,0,0,0,0,0,9,0,0,0,0,0
yes,0,0,0,0,0,57,0,0,0,0,0,0
sprawl,0,0,0,0,0,0,0,0,0,0,1,0
strain,0,0,0,0,0,0,2,0,0,0,2,0
eyebrow,0,0,0,0,0,0,6,0,0,0,0,0
heavily,0,0,7,0,0,0,0,0,0,0,0,0
recall,0,0,0,0,0,0,0,0,0,0,4,0
effort,0,0,0,0,0,0,2,0,0,0,0,0
unconsciously,0,0,1,0,0,0,0,0,0,0,0,0
yield,0,0,0,0,0,0,0,0,0,0,2,0
force,0,0,0,0,0,0,4,0,0,0,1,0
exertion,0,0,0,0,0,0,2,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,15,0
soon,0,0,17,0,0,0,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,38,0
tired,6,0,0,0,0,0,0,0,0,0,0,0
moist,2,0,0,0,0,0,0,0,0,0,0,0
tear,0,0,0,0,0,0,17,0,0,0,6,0
fatigue,0,0,0,0,0,0,1,0,0,0,0,0
sorrow,0,0,0,0,0,0,6,0,0,0,1,0
rapidly,0,0,9,0,0,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,3,0,0,0,16,0
page,0,0,0,0,0,0,2,0,0,0,0,0
sob,0,0,0,0,0,0,0,0,0,0,2,0
die,0,0,0,0,0,0,0,0,0,0,14,0
gently,0,0,5,0,0,0,0,0,0,0,0,0
fault,0,0,0,0,0,0,1,0,0,0,0,0
live,0,0,1,0,0,0,0,0,0,0,47,0
way,0,0,0,0,0,0,50,0,0,0,0,0
badly,0,0,2,0,0,0,0,0,0,0,0,0
thousand,0,0,0,0,0,0,5,3,0,0,0,0
cattle,0,0,0,0,0,0,1,0,0,0,0,0
boast,0,0,0,0,0,0,0,0,0,0,2,0
life,0,0,0,0,0,0,74,0,0,0,0,0
morrow,0,0,0,0,0,0,3,0,0,0,0,0
year,0,0,0,0,0,0,13,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,13,0
forth,0,3,4,0,0,0,0,0,0,0,0,0
child,0,0,0,0,0,0,24,0,0,0,0,0
amuse,0,0,0,0,0,0,0,0,0,0,1,0
begin,0,0,0,0,0,0,0,0,0,0,36,0
surly,2,0,0,0,0,0,0,0,0,0,0,0
scold,0,0,0,0,0,0,0,0,0,0,2,0
glutton,0,0,0,0,0,0,1,0,0,0,0,0
hurry,0,0,0,0,0,0,2,0,0,0,3,0
quick,1,0,3,0,0,0,0,0,0,0,0,0
beast,0,0,0,0,0,0,8,0,0,0,0,0
burden,0,0,0,0,0,0,3,0,0,0,1,0
drag,0,0,0,0,0,0,0,0,0,0,6,0
thief,0,0,0,0,0,0,4,0,0,0,0,0
worthless,2,0,0,0,0,0,0,0,0,0,0,0
steal,0,0,0,0,0,0,0,0,0,0,2,0
mop,0,0,0,0,0,0,1,0,0,0,0,0
joy,0,0,0,0,0,0,19,0,0,0,0,0
quicken,0,0,0,0,0,0,0,0,0,0,2,0
melt,0,0,0,0,0,0,0,0,0,0,4,0
heart,0,0,0,0,0,0,87,0,0,0,0,0
mendicant,0,0,0,0,0,0,1,0,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,0,3,0
snatch,0,0,0,0,0,0,0,0,0,0,7,0
law,0,0,0,0,0,0,13,0,0,0,0,0
stick,0,0,0,0,0,0,4,0,0,0,6,0
convenient,3,0,0,0,0,0,0,0,0,0,0,0
permit,0,0,0,0,0,0,0,0,0,0,1,0
suck,0,0,0,0,0,0,0,0,0,0,4,0
