word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
jump,0,0,0,0,0,0,0,0,0,1
real,5,0,0,0,0,0,0,0,0,0
playgoer,0,0,0,0,0,0,7,0,0,0
brown,1,0,0,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,7,0,0,0
clean,0,0,0,0,0,0,0,0,0,1
hat,0,0,0,0,0,0,1,0,0,0
bit,0,0,0,0,0,0,6,0,0,0
wig,0,0,0,0,0,0,2,0,0,0
fish,0,0,0,0,0,0,1,0,0,0
fruit,0,0,0,0,0,0,1,0,0,0
piece,0,0,0,0,0,0,2,0,0,0
wood,0,0,0,0,0,0,1,0,0,0
colour,0,0,0,0,0,0,1,0,0,1
busy,4,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,6,0,0,0
sleep,0,0,0,0,0,0,1,0,0,3
glass,0,0,0,0,0,0,2,0,0,0
friendly,2,0,0,0,0,0,0,0,0,0
well,4,0,1,0,0,0,0,0,0,0
afternoon,0,0,0,0,0,0,1,0,0,0
daylight,0,0,0,0,0,0,2,0,0,0
rehearsal,0,0,0,0,0,0,3,0,0,0
lunch,0,0,0,0,0,0,1,0,0,0
success,0,0,0,0,0,0,2,0,0,0
kill,0,0,0,0,0,0,0,0,0,5
war,0,0,0,0,0,0,6,0,0,0
kingdom,0,0,0,0,0,0,1,0,0,0
looking,4,0,0,0,0,0,0,0,0,0
everybody,0,0,0,0,0,0,0,0,5,0
favourite,1,0,0,0,0,0,2,0,0,0
dangerous,3,0,0,0,0,0,0,0,0,0
surprised,1,0,0,0,0,0,0,0,0,0
important,5,0,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,1
plague,0,0,0,0,0,0,11,0,0,0
tour,0,0,0,0,0,0,5,0,0,0
surely,0,0,1,0,0,0,0,0,0,0
terrible,3,0,0,0,0,0,0,0,0,0
narrow,1,0,0,0,0,0,0,0,0,0
water,0,0,0,0,0,0,1,0,0,0
escape,0,0,0,0,0,0,2,0,0,0
fire,0,0,0,0,0,0,6,0,0,0
shut,0,0,0,0,0,0,0,0,0,1
lock,0,0,0,0,0,0,0,0,0,1
cross,0,0,0,0,0,0,1,0,0,0
inside,0,2,1,0,0,0,0,0,0,0
rich,3,0,0,0,0,0,0,0,0,0
fast,1,0,4,0,0,0,0,0,0,0
strange,1,0,0,0,0,0,0,0,0,0
question,0,0,0,0,0,0,2,0,0,0
visit,0,0,0,0,0,0,0,0,0,2
short,1,0,0,0,0,0,0,0,0,0
sonnet,0,0,0,0,0,0,3,0,0,0
lodging,0,0,0,0,0,0,4,0,0,0
black,9,0,0,0,0,0,0,0,0,0
haired,2,0,0,0,0,0,0,0,0,0
eyed,1,0,0,0,0,0,0,0,0,0
cold,4,0,0,0,0,0,0,0,0,0
cruel,4,0,0,0,0,0,0,0,0,0
loving,1,0,0,0,0,0,0,0,0,0
swear,0,0,0,0,0,0,0,0,0,1
thee,0,0,0,0,0,0,0,0,5,0
fair,1,0,0,0,0,0,0,0,0,0
art,0,0,0,0,0,0,0,0,0,1
hell,0,0,0,0,0,0,1,0,0,0
dark,3,0,0,0,0,0,0,0,0,0
downstairs,0,0,1,0,0,0,0,0,0,0
stormy,1,0,0,0,0,0,0,0,0,0
gold,0,0,0,0,0,0,1,0,0,0
ear,0,0,0,0,0,0,1,0,0,0
neck,0,0,0,0,0,0,1,0,0,0
past,0,1,0,0,0,0,0,0,0,0
ship,0,0,0,0,0,0,3,0,0,0
whew,0,0,0,0,0,1,0,0,0,0
easy,1,0,0,0,0,0,0,0,0,0
teacher,0,0,0,0,0,0,1,0,0,0
describe,0,0,0,0,0,0,0,0,0,1
understand,0,0,0,0,0,0,0,0,0,9
lover,0,0,0,0,0,0,3,0,0,0
loudly,0,0,2,0,0,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,0,5
try,0,0,0,0,0,0,0,0,0,4
belong,0,0,0,0,0,0,0,0,0,1
court,0,0,0,0,0,0,12,0,0,0
special,2,0,0,0,0,0,0,0,0,0
twice,0,0,2,0,1,0,0,0,0,0
mistake,0,0,0,0,0,0,3,0,0,0
sad,4,0,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,5,0,0,0
making,0,0,0,0,0,0,1,0,0,0
dress,0,0,0,0,0,0,2,0,0,0
pay,0,0,0,0,0,0,0,0,0,8
ready,1,0,0,0,0,0,0,0,0,0
exciting,5,0,0,0,0,0,0,0,0,0
palace,0,0,0,0,0,0,1,0,0,0
eating,0,0,0,0,0,0,1,0,0,0
drinking,0,0,0,0,0,0,1,0,0,0
weather,0,0,0,0,0,0,2,0,0,0
wet,3,0,0,0,0,0,1,0,0,0
rain,0,0,0,0,0,0,1,0,0,1
strangely,0,0,1,0,0,0,0,0,0,0
matter,0,0,0,0,0,0,1,0,0,2
grey,1,0,0,0,0,0,0,0,0,0
ill,1,0,0,0,0,0,0,0,0,0
yesterday,0,0,0,0,0,0,1,0,0,0
arm,0,0,0,0,0,0,1,0,0,0
silently,0,0,2,0,0,0,0,0,0,0
penny,0,0,0,0,0,0,3,0,0,0
tired,4,0,0,0,0,0,0,0,0,0
count,0,0,0,0,0,0,0,0,0,1
granddad,0,0,0,0,0,0,1,0,0,0
sadly,0,0,1,0,0,0,0,0,0,0
quickly,0,0,2,0,0,0,0,0,0,0
grand,2,0,0,0,0,0,0,0,0,0
townspeople,0,0,0,0,0,0,1,0,0,0
borrow,0,0,0,0,0,0,0,0,0,1
person,0,0,0,0,0,0,1,0,0,0
farm,0,0,0,0,0,0,1,0,0,0
north,0,0,1,0,0,0,0,0,0,0
grief,0,0,0,0,0,0,2,0,0,0
deep,1,0,0,0,0,0,0,0,0,0
fourteen,0,0,0,0,0,0,0,1,0,0
playbook,0,0,0,0,0,0,3,0,0,0
fill,0,0,0,0,0,0,0,0,0,2
absent,1,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,2,0,0,0
put,0,0,0,0,0,0,0,0,0,2
pretty,1,0,0,0,0,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,1
