word,ADJ,ADP,ADV,AUX,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
tale,0,0,0,0,0,33,0,0,0,0,0
entertainment,0,0,0,0,0,4,0,0,0,0,0
blockbuster,1,0,0,0,0,0,0,0,0,0,0
summer,0,0,0,0,0,3,0,0,0,0,0
movie,0,0,0,0,0,1,0,0,0,0,0
day,0,0,0,0,0,35,0,0,0,0,0
adventure,0,0,0,0,0,9,0,0,0,0,0
brave,3,0,0,0,0,0,0,0,0,0,0
knight,0,0,0,0,0,13,0,0,0,0,0
beautiful,5,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,49,0,0,0,0,0
horrible,2,0,0,0,0,0,0,0,0,0,0
monster,0,0,0,0,0,7,0,0,0,0,0
mysterious,3,0,0,0,0,0,0,0,0,0,0
spirit,0,0,0,0,0,10,0,0,0,0,0
gripping,1,0,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,15,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,30,0
leap,0,0,0,0,0,1,0,0,0,0,0
word,0,0,0,0,0,15,0,0,0,0,0
mouth,0,0,0,0,0,1,0,0,0,0,0
page,0,0,0,0,0,4,0,0,0,0,0
book,0,0,0,0,0,69,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,32,0
journey,0,0,0,0,0,9,0,0,0,0,0
time,0,0,0,0,0,105,0,0,0,0,0
witness,0,0,0,0,0,0,0,0,0,3,0
movement,0,0,0,0,0,17,0,0,0,0,0
dimensional,2,0,0,0,0,0,0,0,0,0,0
action,0,0,0,0,0,16,0,0,0,0,0
lesson,0,0,0,0,0,5,0,0,0,0,0
subtlety,0,0,0,0,0,3,0,0,0,0,0
plot,0,0,0,0,0,21,0,0,0,0,0
character,0,0,0,0,0,37,0,0,0,0,0
usage,0,0,0,0,0,1,0,0,0,0,0
simple,5,0,0,0,0,0,0,0,0,0,0
convention,0,0,0,0,0,14,0,0,0,0,0
new,45,0,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,26,0,0,0,14,0
sound,3,0,0,0,0,5,0,0,0,0,0
meaning,0,0,0,0,0,8,0,0,0,0,0
short,21,0,0,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,46,0
rich,12,0,0,0,0,1,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,9,0
today,0,0,0,0,0,11,0,0,0,0,0
trace,0,0,0,0,0,0,0,0,0,5,0
exactly,0,0,4,0,0,0,0,0,0,0,0
evolution,0,0,0,0,0,2,0,0,0,0,0
involve,0,0,0,0,0,0,0,0,0,11,0
element,0,0,0,0,0,17,0,0,0,0,0
formal,10,0,0,0,0,0,0,0,0,0,0
publishing,0,0,0,0,0,1,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,75,0
exact,2,0,0,0,0,0,0,0,0,2,0
date,0,0,0,0,0,13,0,0,0,19,0
important,30,0,0,0,0,0,0,0,0,0,0
estimate,0,0,0,0,0,0,0,0,0,1,0
base,1,0,0,0,0,0,0,0,0,22,0
span,0,0,0,0,0,1,0,0,0,2,0
author,0,0,0,0,0,41,0,0,0,0,0
place,0,0,0,0,0,14,0,0,0,7,0
history,0,0,0,0,0,64,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,0,10,0
reference,0,0,0,0,0,5,0,0,0,0,0
event,0,0,0,0,0,26,0,0,0,0,0
general,11,0,0,0,0,1,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,25,0
extend,0,0,0,0,0,0,0,0,0,7,0
tumultuous,1,0,0,0,0,0,0,0,0,0,0
wave,0,0,0,0,0,1,0,0,0,0,0
invader,0,0,0,0,0,4,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,26,0
different,18,0,0,0,0,0,0,0,0,0,0
island,0,0,0,0,0,2,0,0,0,0,0
original,9,0,0,0,0,2,0,0,0,0,0
inhabitant,0,0,0,0,0,3,0,0,0,0,0
enrich,0,0,0,0,0,0,0,0,0,2,0
germanic,10,0,0,0,0,0,0,0,0,0,0
norman,9,0,0,0,0,0,0,0,0,0,0
extensively,0,0,4,0,0,0,0,0,0,0,0
member,0,0,0,0,0,15,0,0,0,0,0
clergy,0,0,0,0,0,2,0,0,0,0,0
break,0,0,0,0,0,1,0,0,0,4,0
away,0,3,3,0,0,0,0,0,0,0,0
choice,1,0,0,0,0,10,0,0,0,0,0
educate,0,0,0,0,0,0,0,0,0,9,0
writing,0,0,0,0,0,65,0,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,0,12,0
rest,0,0,0,0,0,4,0,0,0,1,0
cowherd,0,0,0,0,0,1,0,0,0,0,0
northern,8,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,3,0,0,0,13,0
compose,0,0,0,0,0,0,0,0,0,33,0
inspire,0,0,0,0,0,0,0,0,0,14,0
christian,26,0,0,0,0,0,0,0,0,0,0
scripture,0,0,0,0,0,1,0,0,0,0,0
native,9,0,0,0,0,0,0,0,0,0,0
hymn,0,0,0,0,0,7,0,0,0,0,0
creation,0,0,0,0,0,9,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,36,0
composition,0,0,0,0,0,15,0,0,0,0,0
vernacular,10,0,0,0,0,5,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,9,0
rely,0,0,0,0,0,0,0,0,0,4,0
fairly,0,0,3,0,0,0,0,0,0,0,0
narrow,2,0,0,0,0,0,0,0,0,0,0
usually,0,0,16,0,0,0,0,0,0,0,0
stress,0,0,0,0,0,9,0,0,0,0,0
metre,0,0,0,0,0,14,0,0,0,0,0
link,0,0,0,0,0,3,0,0,0,5,0
half,2,0,2,0,0,12,0,0,0,0,0
line,0,0,0,0,0,71,0,0,0,0,0
standard,6,0,0,0,0,2,0,0,0,0,0
image,0,0,0,0,0,8,0,0,0,0,0
description,0,0,0,0,0,7,0,0,0,0,0
emphasis,0,0,0,0,0,9,0,0,0,0,0
originality,0,0,0,0,0,4,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,4,0
stylistic,6,0,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,1,0,0,0,23,0
virtually,0,0,8,0,0,0,0,0,0,0,0
unchanged,1,0,0,0,0,0,0,0,0,0,0
note,0,0,0,0,0,4,0,0,0,5,0
ahead,0,0,2,0,0,0,0,0,0,0,0
european,12,0,0,0,0,0,0,0,0,0,0
advanced,1,0,0,0,0,0,0,0,0,0,0
consist,0,0,0,0,0,0,0,0,0,10,0
practical,4,0,0,0,0,0,0,0,0,0,0
tract,0,0,0,0,0,28,0,0,0,0,0
deal,0,0,0,0,0,4,0,0,0,17,0
law,0,0,0,0,0,17,0,0,0,0,0
medicine,0,0,0,0,0,1,0,0,0,0,0
invasion,0,0,0,0,0,3,0,0,0,0,0
