word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
fight,0,0,0,0,0,0,0,3,0,0,0,22,0
religious,76,0,0,0,0,0,0,0,0,0,0,0,0
political,249,0,0,0,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,0,12,0,0,0,2,0
european,56,0,0,0,0,0,0,0,0,0,0,0,0
intervene,0,0,0,0,0,0,0,0,0,0,0,12,0
goal,0,0,0,0,0,0,0,18,0,0,0,0,0
large,147,0,2,0,0,0,0,0,0,0,0,0,0
part,0,0,0,0,0,0,0,26,0,0,0,0,0
devastate,0,0,0,0,0,0,0,0,0,0,0,4,0
fighting,0,0,0,0,0,0,0,8,0,0,0,0,0
epidemic,0,0,0,0,0,0,0,7,0,0,0,0,0
follow,0,0,0,0,0,0,0,1,0,0,0,97,0
army,0,0,0,0,0,0,0,100,0,0,0,0,0
land,0,0,0,0,0,0,0,128,0,0,0,8,0
region,0,0,0,0,0,0,0,93,0,0,0,0,0
hit,0,0,0,0,0,0,0,0,0,0,0,5,0
hard,12,0,7,0,0,0,0,0,0,0,0,0,0
recover,0,0,0,0,0,0,0,0,0,0,0,13,0
sign,0,0,0,0,0,0,0,3,0,0,0,26,0
mainly,0,0,26,0,0,0,0,0,0,0,0,0,0
benefit,0,0,0,0,0,0,0,19,0,0,0,8,0
weaken,0,0,0,0,0,0,0,0,0,0,0,18,0
independent,34,0,0,0,0,0,0,0,0,0,0,0,0
remain,0,0,0,0,0,0,0,3,0,0,0,121,0
begin,0,0,0,0,0,0,0,0,0,0,0,147,0
assert,0,0,0,0,0,0,0,0,0,0,0,10,0
sovereignty,0,0,0,0,0,0,0,24,0,0,0,0,0
comprise,0,0,0,0,0,0,0,0,0,0,0,11,0
principality,0,0,0,0,0,0,0,22,0,0,0,0,0
leading,6,0,0,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,0,43,0,0,0,1,0
accumulate,0,0,0,0,0,0,0,0,0,0,0,4,0
secure,2,0,0,0,0,0,0,0,0,0,0,23,0
east,68,0,18,0,0,0,0,81,0,0,0,0,0
elector,0,0,0,0,0,0,0,76,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,0,0,0,14,0
right,10,0,1,0,0,0,0,107,0,0,0,0,0
style,0,0,0,0,0,0,0,29,0,0,0,2,0
clash,0,0,0,0,0,0,0,1,0,0,0,3,0
seven,0,0,0,0,0,0,0,0,22,0,0,0,0
cement,0,0,0,0,0,0,0,1,0,0,0,1,0
dominate,0,0,0,0,0,0,0,0,0,0,0,31,0
northern,52,0,0,0,0,0,0,0,0,0,0,0,0
partition,0,0,0,0,0,0,0,22,0,0,0,4,0
continue,0,0,0,0,0,0,0,0,0,0,0,91,0
