word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
miraculously,0,0,1,0,0,0,0,0,0,0,0
orphan,0,0,0,0,0,0,2,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,0,1
thirteen,0,0,0,0,0,0,0,3,0,0,0
home,0,0,36,0,0,0,11,0,0,0,0
glorious,4,0,0,0,0,0,0,0,0,0,0
emerald,0,0,0,0,0,0,5,0,0,0,0
green,8,0,0,0,0,0,4,0,0,0,0
boatman,0,0,0,0,0,0,23,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,21
poor,8,0,0,0,0,0,0,0,0,0,0
mite,0,0,0,0,0,0,1,0,0,0,0
sun,0,0,0,0,0,0,13,0,0,0,1
tan,0,0,0,0,0,0,0,0,0,0,1
grow,0,0,0,0,0,0,0,0,0,0,14
skin,0,0,0,0,0,0,1,0,0,0,0
eye,0,0,0,0,0,0,44,0,0,0,1
rest,0,0,0,0,0,0,8,0,0,0,7
crystal,0,0,0,0,0,0,2,0,0,0,0
nature,0,0,0,0,0,0,2,0,0,0,0
teacher,0,0,0,0,0,0,1,0,0,0,0
innocent,1,0,0,0,0,0,0,0,0,0,0
lively,3,0,0,0,0,0,0,0,0,0,0
untamed,1,0,0,0,0,0,0,0,0,0,0
wild,5,0,0,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,0,4,0,0,0,0
gentleness,0,0,0,0,0,0,1,0,0,0,0
fawn,0,0,0,0,0,0,1,0,0,0,0
meaning,0,0,0,0,0,0,2,0,0,0,0
cruelty,0,0,0,0,0,0,1,0,0,0,0
anxiety,0,0,0,0,0,0,1,0,0,0,0
anger,0,0,0,0,0,0,2,0,0,0,0
stranger,0,0,0,0,0,0,5,0,0,0,0
stare,0,0,0,0,0,0,1,0,0,0,9
fix,0,0,0,0,0,0,0,0,0,0,8
brilliant,2,0,0,0,0,0,0,0,0,0,0
ready,4,0,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,2,0,0,0,13
instant,0,0,0,0,0,0,1,0,0,0,0
mountain,0,0,0,0,0,0,5,0,0,0,0
harm,0,0,0,0,0,0,1,0,0,0,0
finish,0,0,0,0,0,0,0,0,0,0,5
task,0,0,0,0,0,0,2,0,0,0,0
calmly,0,0,1,0,0,0,0,0,0,0,0
rain,0,0,0,0,0,0,14,0,0,0,4
grasp,0,0,0,0,0,0,0,0,0,0,2
strain,0,0,0,0,0,0,1,0,0,0,3
forward,0,0,4,0,0,0,0,0,0,0,0
haul,0,0,0,0,0,0,0,0,0,0,6
tired,2,0,0,0,0,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,20
sleep,0,0,0,0,0,0,9,0,0,0,9
hail,0,0,0,0,0,0,0,0,0,0,6
shore,0,0,0,0,0,0,5,0,0,0,1
let,0,0,0,0,0,0,0,0,0,0,32
grandfather,0,0,0,0,0,0,77,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,0,12
aboard,0,0,8,0,0,0,0,0,0,0,0
nimbly,0,0,1,0,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,1,0,0,0,4
accompany,0,0,0,0,0,0,0,0,0,0,3
call,0,0,0,0,0,0,0,0,0,0,27
bound,0,0,0,0,0,0,0,0,0,0,2
rope,0,0,0,0,0,0,6,0,0,0,0
mouth,0,0,0,0,0,0,3,0,0,0,0
tug,0,0,0,0,0,0,0,0,0,0,3
proud,2,0,0,0,0,0,0,0,0,0,0
play,0,0,0,0,0,0,0,0,0,0,10
granddaughter,0,0,0,0,0,0,14,0,0,0,0
familiar,2,0,0,0,0,0,0,0,0,0,0
figure,0,0,0,0,0,0,4,0,0,0,0
villager,0,0,0,0,0,0,5,0,0,0,0
round,2,14,14,0,0,0,0,0,0,0,1
favourite,0,0,0,0,0,0,1,0,0,0,0
day,0,0,0,0,0,0,56,0,0,0,0
disturb,0,0,0,0,0,0,0,0,0,0,2
sit,0,0,0,0,0,0,0,0,0,0,33
door,0,0,0,0,0,0,17,0,0,0,0
cliff,0,0,0,0,0,0,22,0,0,0,0
watch,0,0,0,0,0,0,1,0,0,0,33
plunge,0,0,0,0,0,0,0,0,0,0,2
retrieve,0,0,0,0,0,0,0,0,0,0,1
listen,0,0,0,0,0,0,0,0,0,0,24
intently,0,0,1,0,0,0,0,0,0,0,0
tale,0,0,0,0,0,0,1,0,0,0,0
fight,0,0,0,0,0,0,1,0,0,0,3
long,25,0,23,0,0,0,0,0,0,0,3
wedding,0,0,0,0,0,0,1,0,0,0,0
tune,0,0,0,0,0,0,1,0,0,0,0
flute,0,0,0,0,0,0,7,0,0,0,0
arrival,0,0,0,0,0,0,3,0,0,0,0
lay,0,0,0,0,0,0,0,0,0,0,5
aside,0,0,2,0,0,0,0,0,0,0,0
hurry,0,0,0,0,0,0,0,0,0,0,17
grandad,0,0,0,0,0,0,46,0,0,0,0
sing,0,0,0,0,0,0,0,0,0,0,39
midstream,0,0,0,0,0,0,4,0,0,0,0
break,0,0,0,0,0,0,0,0,0,0,4
cheerful,2,0,0,0,0,0,0,0,0,0,0
song,0,0,0,0,0,0,29,0,0,0,0
hoarse,2,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,8,0,0,0,0
mingle,0,0,0,0,0,0,0,0,0,0,3
float,0,0,0,0,0,0,0,0,0,0,12
stillness,0,0,0,0,0,0,2,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,25
new,25,0,0,0,0,0,0,0,0,0,0
echo,0,0,0,0,0,0,0,0,0,0,1
music,0,0,0,0,0,0,1,0,0,0,0
accentuate,0,0,0,0,0,0,0,0,0,0,1
calf,0,0,0,0,0,0,2,0,0,0,0
flock,0,0,0,0,0,0,1,0,0,0,1
sheep,0,0,0,0,0,0,4,0,0,0,0
decorate,0,0,0,0,0,0,0,0,0,0,1
bridal,3,0,0,0,0,0,0,0,0,0,0
sedan,0,0,0,0,0,0,4,0,0,0,0
chair,0,0,0,0,0,0,6,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,41
charge,0,0,0,0,0,0,8,0,0,0,0
stand,0,0,0,0,0,0,1,0,0,0,28
stern,0,0,0,0,0,0,4,0,0,0,0
lazily,0,0,2,0,0,0,0,0,0,0,0
inch,0,0,0,0,0,0,0,0,0,0,1
see,0,0,0,0,0,0,0,0,0,0,39
vanish,0,0,0,0,0,0,0,0,0,0,2
distance,0,0,0,0,0,0,6,0,0,0,0
turn,0,0,0,0,0,0,7,0,0,0,19
imitate,0,0,0,0,0,0,0,0,0,0,1
bleating,0,0,0,0,0,0,1,0,0,0,0
lamb,0,0,0,0,0,0,1,0,0,0,1
lowing,0,0,0,0,0,0,1,0,0,0,0
cow,0,0,0,0,0,0,1,0,0,0,0
flower,0,0,0,0,0,0,8,0,0,0,0
hair,0,0,0,0,0,0,6,0,0,0,0
bride,0,0,0,0,0,0,5,0,0,0,0
bare,2,0,0,0,0,0,0,0,0,0,0
separate,0,0,0,0,0,0,0,0,0,0,2
oil,0,0,0,0,0,0,16,0,0,0,0
salt,0,0,0,0,0,0,8,0,0,0,1
festival,0,0,0,0,0,0,13,0,0,0,0
grocery,0,0,0,0,0,0,1,0,0,0,0
impress,0,0,0,0,0,0,0,0,0,0,2
