word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
institution,0,0,0,0,0,0,0,4,0,0,0,0,0
emerge,0,0,0,0,0,0,0,0,0,0,0,6,0
witness,0,0,0,0,0,0,0,0,0,0,0,3,0
affair,0,0,0,0,0,0,0,11,0,0,0,0,0
thoroughly,0,0,2,0,0,0,0,0,0,0,0,0,0
terrified,4,0,0,0,0,0,0,0,0,0,0,0,0
cap,0,0,0,0,0,0,0,12,0,0,0,0,0
wax,0,0,0,0,0,0,0,1,0,0,0,1,0
cloth,0,0,0,0,0,0,0,8,0,0,0,0,0
cant,0,0,0,0,0,0,0,0,0,0,0,1,0
tiptoe,0,0,0,0,0,0,0,8,0,0,0,0,0
order,0,0,0,0,0,0,0,35,0,0,0,0,0
provoke,0,0,0,0,0,0,0,0,0,0,0,2,0
give,0,0,0,0,0,0,0,0,0,0,0,53,0
tug,0,0,0,0,0,0,0,6,0,0,0,1,0
braid,0,0,0,0,0,0,0,2,0,0,0,0,0
violent,8,0,0,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,0,50,0,0,0,0,0
flat,1,0,0,0,0,0,0,0,0,0,0,0,0
ground,3,0,0,0,0,0,0,8,0,0,0,0,0
utter,0,0,0,0,0,0,0,0,0,0,0,25,0
cry,0,0,0,0,0,0,0,17,0,0,0,32,0
brother,0,0,0,0,0,0,0,17,0,0,0,0,0
whirl,0,0,0,0,0,0,0,2,0,0,0,2,0
strong,15,0,0,0,0,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,0,48,0,0,0,0,0
skin,0,0,0,0,0,0,0,2,0,0,0,0,0
pause,0,0,0,0,0,0,0,1,0,0,0,5,0
reflect,0,0,0,0,0,0,0,0,0,0,0,7,0
small,33,0,0,0,0,0,0,0,0,0,0,0,0
ill,18,0,2,0,0,0,0,0,0,0,0,0,0
fling,0,0,0,0,0,0,0,0,0,0,0,12,0
bind,0,0,0,0,0,0,0,0,0,0,0,6,0
fellow,1,0,0,0,0,0,0,17,0,0,0,0,0
belabor,0,0,0,0,0,0,0,0,0,0,0,1,0
hold,0,0,0,0,0,0,0,3,0,0,0,33,0
get,0,0,0,0,0,0,0,0,0,0,0,20,0
separate,0,0,0,0,0,0,0,0,0,0,0,5,0
instantly,0,0,24,0,0,0,0,0,0,0,0,0,0
pound,0,0,0,0,0,0,0,0,0,0,0,2,0
away,0,4,47,0,0,0,0,0,0,0,0,0,0
instant,0,0,0,0,0,0,0,13,0,0,0,0,0
tear,0,0,0,0,0,0,0,13,0,0,0,11,0
bruise,0,0,0,0,0,0,0,0,0,0,0,1,0
draw,0,0,0,0,0,0,0,0,0,0,0,28,0
blood,0,0,0,0,0,0,0,19,0,0,0,0,0
nose,0,0,0,0,0,0,0,6,0,0,0,0,0
tenacious,1,0,0,0,0,0,0,0,0,0,0,0,0
kill,0,0,0,0,0,0,0,0,0,0,0,6,0
pay,0,0,0,0,0,0,0,0,0,0,0,10,0
kick,0,0,0,0,0,0,0,1,0,0,0,1,0
cuff,0,0,0,0,0,0,0,0,0,0,0,1,0
butt,0,0,0,0,0,0,0,0,0,0,0,1,0
lunge,0,0,0,0,0,0,0,0,0,0,0,1,0
heel,0,0,0,0,0,0,0,3,0,0,0,0,0
