word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
hurl,0,0,0,0,0,0,0,0,0,3,0
approach,0,0,0,0,0,0,0,0,0,6,0
creature,0,0,0,0,0,4,0,0,0,0,0
clap,0,0,0,0,0,0,0,0,0,3,0
big,2,0,0,0,0,0,0,0,0,0,0
fellow,0,0,0,0,0,4,0,0,0,0,0
challenge,0,0,0,0,0,0,0,0,0,1,0
wrestling,0,0,0,0,0,1,0,0,0,0,0
match,0,0,0,0,0,1,0,0,0,0,0
deaf,5,0,0,0,0,0,0,0,0,0,0
matter,0,0,1,0,0,2,0,0,0,3,0
festivalgoer,0,0,0,0,0,1,0,0,0,0,0
robe,0,0,0,0,0,1,0,0,0,0,0
paper,0,0,0,0,0,1,0,0,0,0,0
crown,0,0,0,0,0,1,0,0,0,1,0
hoist,0,0,0,0,0,0,0,0,0,1,0
litter,0,0,0,0,0,3,0,0,0,0,0
smile,0,0,0,0,0,2,0,0,0,6,0
leave,0,0,0,0,0,0,0,0,0,19,0
parade,0,0,0,0,0,2,0,0,0,1,0
street,0,0,0,0,0,14,0,0,0,0,0
theater,0,0,0,0,0,1,0,0,0,0,0
insist,0,0,0,0,0,0,0,0,0,1,0
attendance,0,0,0,0,0,1,0,0,0,0,0
remain,0,0,0,0,0,0,0,0,0,3,0
point,0,0,0,0,0,2,0,0,0,12,0
dance,0,0,0,0,0,0,0,0,0,16,0
square,0,0,0,0,0,13,0,0,0,0,0
race,0,0,0,0,0,0,0,0,0,3,0
give,0,0,0,0,0,0,0,0,0,5,0
useless,1,0,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,19,0,0,0,0,0
dusk,0,0,0,0,0,1,0,0,0,0,0
happy,4,0,0,0,0,0,0,0,0,0,0
sad,2,0,0,0,0,0,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,4,0
desperately,0,0,1,0,0,0,0,0,0,0,0
need,0,0,0,0,0,0,0,0,0,6,0
money,0,0,0,0,0,12,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,2,0
rent,0,0,0,0,0,1,0,0,0,0,0
month,0,0,0,0,0,9,0,0,0,0,0
wander,0,0,0,0,0,0,0,0,0,3,0
tell,0,0,0,0,0,0,0,0,0,31,0
music,0,0,0,0,0,1,0,0,0,0,0
area,0,0,0,0,0,1,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,0,13,0
shiver,0,0,0,0,0,0,0,0,0,3,0
numb,1,0,0,0,0,0,0,0,0,0,0
cold,5,0,0,0,0,0,0,0,0,0,0
hurry,0,0,0,0,0,1,0,0,0,9,0
magnificent,2,0,0,0,0,0,0,0,0,0,0
blaze,0,0,0,0,0,0,0,0,0,2,0
middle,0,0,0,0,0,2,0,0,0,0,0
group,0,0,0,0,0,2,0,0,0,0,0
form,0,0,0,0,0,0,0,0,0,3,0
curse,0,0,0,0,0,1,0,0,0,7,0
shut,0,0,0,0,0,0,0,0,0,2,0
away,0,2,44,0,0,0,0,0,0,0,0
fire,0,0,0,0,0,6,0,0,0,0,0
warm,0,0,0,0,0,0,0,0,0,2,0
watch,0,0,0,0,0,0,0,0,0,24,0
girl,0,0,0,0,0,40,0,0,0,0,0
fascination,0,0,0,0,0,1,0,0,0,0,0
strike,0,0,0,0,0,0,0,0,0,6,0
dazzle,0,0,0,0,0,0,0,0,0,2,0
beauty,0,0,0,0,0,4,0,0,0,0,0
tall,2,0,0,0,0,0,0,0,0,0,0
slender,1,0,0,0,0,0,0,0,0,0,0
figure,0,0,0,0,0,2,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,5,0
skin,0,0,0,0,0,2,0,0,0,0,0
tint,0,0,0,0,0,0,0,0,0,1,0
gold,1,0,0,0,0,1,0,0,0,0,0
hair,0,0,0,0,0,3,0,0,0,0,0
thick,1,0,0,0,0,0,0,0,0,0,0
dark,22,0,0,0,0,1,0,0,0,0,0
flash,0,0,0,0,0,0,0,0,0,6,0
spin,0,0,0,0,0,0,0,0,0,4,0
twirl,0,0,0,0,0,0,0,0,0,2,0
old,23,0,0,0,0,0,0,0,0,0,0
persian,1,0,0,0,0,0,0,0,0,0,0
carpet,0,0,0,0,0,1,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,0,2,0
pavement,0,0,0,0,0,5,0,0,0,0,0
arm,0,0,0,0,0,29,0,0,0,0,0
hold,0,0,0,0,0,1,0,0,0,21,0
high,0,0,3,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,4,0
tambourine,0,0,0,0,0,12,0,0,0,0,0
pretty,3,0,0,0,0,0,0,0,0,0,0
white,4,0,0,0,0,0,0,0,0,0,0
goat,0,0,0,0,0,32,0,0,0,0,0
trot,0,0,0,0,0,0,0,0,0,1,0
say,0,0,0,0,0,0,0,0,0,79,0
turn,0,0,0,0,0,1,0,0,0,42,0
continue,0,0,0,0,0,0,0,0,0,12,0
raise,0,0,0,0,0,0,0,0,0,11,0
leg,0,0,0,0,0,3,0,0,0,0,0
applaud,0,0,0,0,0,0,0,0,0,1,0
way,0,0,0,0,0,13,0,0,0,0,0
hoof,0,0,0,0,0,3,0,0,0,0,0
instrument,0,0,0,0,0,2,0,0,0,0,0
seven,0,0,0,0,0,0,6,0,0,0,0
blow,0,0,0,0,0,2,0,0,0,2,0
moment,0,0,0,0,0,15,0,0,0,0,0
town,0,0,0,0,0,2,0,0,0,0,0
clock,0,0,0,0,0,2,0,0,0,0,0
astounded,1,0,0,0,0,0,0,0,0,0,0
witchcraft,0,0,0,0,0,3,0,0,0,0,0
bald,3,0,0,0,0,0,0,0,0,0,0
drown,0,0,0,0,0,0,0,0,0,1,0
applause,0,0,0,0,0,1,0,0,0,0,0
churchman,0,0,0,0,0,1,0,0,0,0,0
