word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
employee,0,0,0,0,0,0,2,0,0,0,0,0,0
have,0,0,0,0,0,0,0,0,0,0,0,7,0
bad,9,0,0,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,26,0
style,0,0,0,0,0,0,3,0,0,0,0,0,0
curious,2,0,0,0,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,6,0,0,0,0,0,0
wake,0,0,0,0,0,0,0,0,0,0,0,7,0
choose,0,0,0,0,0,0,0,0,0,0,0,28,0
happen,0,0,0,0,0,0,0,0,0,0,0,5,0
victim,0,0,0,0,0,0,2,0,0,0,0,0,0
complain,0,0,0,0,0,0,0,0,0,0,0,4,0
accept,0,0,0,0,0,0,0,0,0,0,0,3,0
complaining,0,0,0,0,0,0,1,0,0,0,0,0,0
yeah,0,0,0,0,0,2,0,0,0,0,0,0,0
right,4,0,3,0,0,1,1,0,0,0,0,0,0
protest,0,0,0,0,0,0,0,0,0,0,0,1,0
cut,0,0,0,0,0,0,0,0,0,0,0,2,0
away,0,1,19,0,0,0,0,0,0,0,0,0,0
junk,0,0,0,0,0,0,1,0,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,0,1,0
line,0,0,0,0,0,0,6,0,0,0,0,0,0
reflect,0,0,0,0,0,0,0,0,0,0,0,2,0
big,9,0,0,0,0,0,0,0,0,0,0,0,0
enterprise,0,0,0,0,0,0,5,0,0,0,0,0,0
start,0,0,0,0,0,0,0,0,0,0,0,12,0
touch,0,0,0,0,0,0,2,0,0,0,0,1,0
instead,0,0,5,0,0,0,0,0,0,0,0,0,0
later,0,0,8,0,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,0,10,0
involve,0,0,0,0,0,0,0,0,0,0,0,2,0
accident,0,0,0,0,0,0,5,0,0,0,0,0,0
fall,0,0,0,0,0,0,1,0,0,0,0,10,0
foot,0,0,0,0,0,0,6,0,0,0,0,0,0
communication,0,0,0,0,0,0,2,0,0,0,0,0,0
tower,0,0,0,0,0,0,1,0,0,0,0,1,0
hour,0,0,0,0,0,0,15,0,0,0,0,0,0
surgery,0,0,0,0,0,0,1,0,0,0,0,0,0
week,0,0,0,0,0,0,5,0,0,0,0,0,0
intensive,1,0,0,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,2,0,0,0,0,1,0
release,0,0,0,0,0,0,0,0,0,0,0,2,0
hospital,0,0,0,0,0,0,6,0,0,0,0,0,0
rod,0,0,0,0,0,0,1,0,0,0,0,0,0
month,0,0,0,0,0,0,6,0,0,0,0,0,0
wanna,0,0,0,0,0,0,0,0,1,0,0,0,0
scar,0,0,0,0,0,0,1,0,0,0,0,0,0
decline,0,0,0,0,0,0,0,0,0,0,0,2,0
wound,0,0,0,0,0,0,1,0,0,0,0,0,0
mind,0,0,0,0,0,0,10,0,0,0,0,1,0
bear,0,0,0,0,0,0,0,0,0,0,0,9,0
daughter,0,0,0,0,0,0,10,0,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,0,2,0
