word,ADJ,ADP,ADV,INTJ,NOUN,NUM,PRON,VERB
ugly,3,0,0,0,0,0,0,0
seventh,1,0,0,0,0,0,0,0
flower,0,0,0,0,1,0,0,0
small,1,0,0,0,0,0,0,0
thirty,0,0,0,0,0,1,0,0
noisy,1,0,0,0,0,0,0,0
town,0,0,0,0,1,0,0,0
trial,0,0,0,0,2,0,0,0
thin,3,0,0,0,0,0,0,0
clean,2,0,0,0,0,0,0,0
twentieth,1,0,0,0,0,0,0,0
hang,0,0,0,0,0,0,0,2
wrong,1,0,0,0,0,0,0,0
work,0,0,0,0,0,0,0,1
think,0,0,0,0,0,0,0,2
free,1,0,0,0,0,0,0,0
