word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB
die,0,0,0,0,0,0,0,0,5
week,0,0,0,0,0,10,0,0,0
let,0,0,0,0,0,0,0,0,12
unhappily,0,0,1,0,0,0,0,0,0
graverobber,0,0,0,0,0,1,0,0,0
rob,0,0,0,0,0,0,0,0,2
doctor,0,0,0,0,0,15,0,0,0
body,0,0,0,0,0,7,0,0,0
cut,0,0,0,0,0,0,0,0,1
dig,0,0,0,0,0,0,0,0,7
dollar,0,0,0,0,0,6,0,0,0
money,0,0,0,0,0,15,0,0,0
remember,0,0,0,0,0,0,0,0,2
year,0,0,0,0,0,1,0,0,0
ago,0,0,1,0,0,0,0,0,0
suddenly,0,0,12,0,0,0,0,0,0
hit,0,0,0,0,0,0,0,0,4
fall,0,0,0,0,0,0,0,0,6
ground,0,0,0,0,0,5,0,0,0
cry,0,0,0,0,0,0,0,0,15
jump,0,0,0,0,0,0,0,0,3
fight,0,0,0,0,0,0,0,0,2
happen,0,0,0,0,0,0,0,0,2
mouth,0,0,0,0,0,7,0,0,0
moment,0,0,0,0,0,1,0,0,0
away,0,0,12,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,2
kill,0,0,0,0,0,0,0,0,3
face,0,0,0,0,0,13,0,0,0
usually,0,0,1,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,2
jail,0,0,0,0,0,3,0,0,0
trial,0,0,0,0,0,4,0,0,0
forget,0,0,0,0,0,0,0,0,4
dangerous,2,0,0,0,0,0,0,0,0
killer,0,0,0,0,0,2,0,0,0
yes,0,0,0,0,7,0,0,0,0
right,3,0,1,0,0,2,0,0,0
sleep,0,0,0,0,0,1,0,0,10
boat,0,0,0,0,0,16,0,0,0
fish,0,0,0,0,0,3,0,0,3
south,0,0,1,0,0,0,0,0,0
bread,0,0,0,0,0,1,0,0,0
meat,0,0,0,0,0,3,0,0,0
pipe,0,0,0,0,0,4,0,0,0
carry,0,0,0,0,0,0,0,0,4
island,0,0,0,0,0,4,0,0,0
fire,0,0,0,0,0,4,0,0,0
cook,0,0,0,0,0,0,0,0,3
dinner,0,0,0,0,0,2,0,0,0
world,0,0,0,0,0,1,0,0,0
close,0,0,0,0,0,0,0,0,1
wake,0,0,0,0,0,0,0,0,5
swim,0,0,0,0,0,0,0,0,4
breakfast,0,0,0,0,0,4,0,0,0
hungry,2,0,0,0,0,0,0,0,0
happily,0,0,1,0,0,0,0,0,0
water,0,0,0,0,0,2,0,0,0
drown,0,0,0,0,0,0,0,0,1
famous,1,0,0,0,0,0,0,0,0
story,0,0,0,0,0,4,0,0,0
interesting,2,0,0,0,0,0,0,0,0
funeral,0,0,0,0,0,3,0,0,0
church,0,0,0,0,0,5,0,0,0
smoke,0,0,0,0,0,2,0,0,5
smoking,0,0,0,0,0,1,0,0,0
colour,0,0,0,0,0,1,0,0,0
minister,0,0,0,0,0,3,0,0,0
family,0,0,0,0,0,1,0,0,0
noise,0,0,0,0,0,4,0,0,0
turn,0,0,0,0,0,0,0,0,1
call,0,0,0,0,0,0,0,0,4
sing,0,0,0,0,0,0,0,0,3
people,0,0,0,0,0,6,0,0,0
judge,0,0,0,0,0,5,0,0,0
free,1,0,0,0,0,0,0,0,0
excited,3,0,0,0,0,0,0,0,0
question,0,0,0,0,0,3,0,0,0
young,1,0,0,0,0,0,0,0,0
seventeenth,1,0,0,0,0,0,0,0,0
crash,0,0,0,0,0,0,0,0,1
badly,0,0,1,0,0,0,0,0,0
slow,1,0,0,0,0,0,0,0,0
life,0,0,0,0,0,1,0,0,0
treasure,0,0,0,0,0,14,0,0,0
put,0,0,0,0,0,0,0,0,1
robber,0,0,0,0,0,1,0,0,0
pick,0,0,0,0,0,2,0,0,0
shovel,0,0,0,0,0,2,0,0,0
arrive,0,0,0,0,0,0,0,0,2
foot,0,0,0,0,0,1,0,0,0
downstairs,0,0,2,0,0,0,0,0,0
upstairs,0,0,5,0,0,0,0,0,0
hole,0,0,0,0,0,5,0,0,0
floor,0,0,0,0,0,5,0,0,0
green,2,0,0,0,0,0,0,0,0
hat,0,0,0,0,0,2,0,0,0
bag,0,0,0,0,0,3,0,0,0
spaniard,0,0,0,0,0,1,0,0,0
fireplace,0,0,0,0,0,1,0,0,0
stone,0,0,0,0,0,2,0,0,0
excitedly,0,0,1,0,0,0,0,0,0
box,0,0,0,0,0,10,0,0,0
thousand,0,0,0,0,0,1,1,0,0
today,0,0,0,0,0,1,0,0,0
cross,0,0,0,0,0,9,0,0,0
birthday,0,0,0,0,0,2,0,0,0
picnic,0,0,0,0,0,8,0,0,0
visit,0,0,0,0,0,0,0,0,1
well,1,0,0,0,0,0,0,0,0
noisy,1,0,0,0,0,0,0,0,0
candle,0,0,0,0,0,9,0,0,0
cave,0,0,0,0,0,22,0,0,0
end,0,0,0,0,0,2,0,0,0
hundred,0,0,0,0,0,3,0,0,0
tunnel,0,0,0,0,0,27,0,0,0
evening,0,0,0,0,0,3,0,0,0
building,0,0,0,0,0,2,0,0,0
rain,0,0,0,0,0,0,0,0,1
cold,3,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,1,0,0,0
ill,2,0,0,0,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,2
alive,1,0,0,0,0,0,0,0,0
mark,0,0,0,0,0,1,0,0,0
wall,0,0,0,0,0,7,0,0,0
bat,0,0,0,0,0,6,0,0,0
fourth,1,0,0,0,0,0,0,0,0
lost,1,0,0,0,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,2
understand,0,0,0,0,0,0,0,0,1
somebody,0,0,0,0,0,0,0,2,0
string,0,0,0,0,0,6,0,0,0
knee,0,0,0,0,0,1,0,0,0
help,0,0,0,0,0,0,0,0,1
different,1,0,0,0,0,0,0,0,0
villager,0,0,0,0,0,1,0,0,0
sudden,1,0,0,0,0,0,0,0,0
sixth,1,0,0,0,0,0,0,0,0
daylight,0,0,0,0,0,1,0,0,0
nose,0,0,0,0,0,1,0,0,0
need,0,0,0,0,0,0,0,0,1
easily,0,0,1,0,0,0,0,0,0
shoe,0,0,0,0,0,1,0,0,0
