word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,X
leave,0,0,0,0,0,0,0,0,0,0,10,0
status,0,0,0,0,0,0,28,0,0,0,0,0
symbol,0,0,0,0,0,0,2,0,0,0,0,0
chief,10,0,0,0,0,0,1,0,0,0,0,0
use,0,0,0,0,0,0,50,0,0,0,2,0
appear,0,0,0,0,0,0,0,0,0,0,30,0
adornment,0,0,0,0,0,0,1,0,0,0,0,0
millaran,2,0,0,0,0,0,0,0,0,0,0,0
southeastern,24,0,0,0,0,0,0,0,0,0,0,0
useful,1,0,0,0,0,0,0,0,0,0,0,0
making,0,0,0,0,0,0,6,0,0,0,0,0
bronze,1,0,0,0,0,0,45,0,0,0,0,0
alloy,0,0,0,0,0,0,4,0,0,0,1,0
tin,0,0,0,0,0,0,9,0,0,0,0,0
practical,6,0,0,0,0,0,0,0,0,0,0,0
regard,0,0,0,0,0,0,2,0,0,0,7,0
uniform,6,0,0,0,0,0,0,0,0,0,0,0
necessarily,0,0,5,0,0,0,0,0,0,0,0,0
advanced,7,0,0,0,0,0,0,0,0,0,0,0
item,0,0,0,0,0,0,15,0,0,0,0,0
dagger,0,0,0,0,0,0,7,0,0,0,0,0
lur,0,0,0,0,0,0,2,0,0,0,0,0
hollow,2,0,0,0,0,0,0,0,0,0,0,0
musical,2,0,0,0,0,0,0,0,0,0,0,0
instrument,0,0,0,0,0,0,3,0,0,0,0,0
mold,0,0,0,0,0,0,6,0,0,0,0,0
sword,0,0,0,0,0,0,17,0,0,0,0,0
armour,0,0,0,0,0,0,6,0,0,0,1,0
importance,0,0,0,0,0,0,22,0,0,0,0,0
difficult,12,0,0,0,0,0,0,0,0,0,0,0
determine,0,0,0,0,0,0,0,0,0,0,4,0
fortify,0,0,0,0,0,0,0,0,0,0,14,0
village,0,0,0,0,0,0,28,0,0,0,0,0
position,0,0,0,0,0,0,15,0,0,0,1,0
trade,0,0,0,0,0,0,28,0,0,0,1,0
