word,ADJ,ADP,ADV,INTJ,NOUN,NUM,SYM,VERB,X
invent,0,0,0,0,0,0,0,13,0
historian,0,0,0,0,3,0,0,0,0
believe,0,0,0,0,0,0,0,1,0
early,8,0,5,0,0,0,0,0,0
thousand,0,0,0,0,3,3,0,0,0
year,0,0,0,0,9,0,0,0,0
ago,0,0,5,0,0,0,0,0,0
prehistoric,4,0,0,0,0,0,0,0,0
start,0,0,0,0,0,0,0,2,0
farm,0,0,0,0,0,0,0,1,0
know,0,0,0,0,0,0,0,11,0
sheep,0,0,0,0,7,0,0,0,0
own,0,0,0,0,0,0,0,1,0
row,0,0,0,0,1,0,0,0,0
grain,0,0,0,0,1,0,0,0,0
plant,0,0,0,0,0,0,0,1,0
harvest,0,0,0,0,1,0,0,0,0
season,0,0,0,0,1,0,0,0,0
arrive,0,0,0,0,0,0,0,1,0
accord,0,0,0,0,0,0,0,6,0
farmer,0,0,0,0,6,0,0,0,0
devise,0,0,0,0,0,0,0,1,0
ingenious,1,0,0,0,0,0,0,0,0
method,0,0,0,0,16,0,0,0,0
matching,0,0,0,0,2,0,0,0,0
mathematician,0,0,0,0,31,0,0,0,0
shepherd,0,0,0,0,5,0,0,0,0
flock,0,0,0,0,2,0,0,0,0
drop,0,0,0,0,0,0,0,3,0
pebble,0,0,0,0,15,0,0,0,0
pile,0,0,0,0,2,0,0,0,0
cut,0,0,0,0,0,0,0,3,0
notch,0,0,0,0,5,0,0,0,0
twig,0,0,0,0,2,0,0,0,0
pasture,0,0,0,0,1,0,0,0,0
morning,0,0,0,0,2,0,0,0,0
sure,1,0,0,0,0,0,0,0,0
return,0,0,0,0,0,0,0,1,0
home,0,0,1,0,1,0,0,0,0
think,0,0,0,0,0,0,0,3,0
smart,1,0,0,0,0,0,0,0,0
object,0,0,0,0,6,0,0,0,0
step,0,0,0,0,2,0,0,0,0
development,0,0,0,0,2,0,0,0,0
fact,0,0,0,0,10,0,0,0,0
describe,0,0,0,0,0,0,0,2,0
tallying,0,0,0,0,1,0,0,0,0
latin,5,0,0,0,0,0,0,0,0
calculus,0,0,0,0,2,0,0,0,0
taleus,0,0,0,0,1,0,0,0,0
young,2,0,0,0,0,0,0,0,0
child,0,0,0,0,10,0,0,0,0
learn,0,0,0,0,0,0,0,14,0
right,1,0,0,0,2,0,0,0,0
fork,0,0,0,0,1,0,0,0,0
dinner,0,0,0,0,2,0,0,0,0
table,0,0,0,0,7,0,0,0,0
lay,0,0,0,0,0,0,0,1,0
mama,0,0,0,0,1,0,0,0,0
daddy,0,0,0,0,1,0,0,0,0
brother,0,0,0,0,1,0,0,0,0
sister,0,0,0,0,1,0,0,0,0
short,1,0,0,0,0,0,0,0,0
name,0,0,0,0,5,0,0,2,0
second,3,0,0,0,3,0,0,0,0
probably,0,0,8,0,0,0,0,0,0
little,2,0,0,0,0,0,0,0,0
today,0,0,0,0,5,0,0,0,0
finger,0,0,0,0,8,0,0,0,0
want,0,0,0,0,0,0,0,7,0
family,0,0,0,0,5,0,0,0,0
hold,0,0,0,0,0,0,0,3,0
member,0,0,0,0,1,0,0,0,0
recite,0,0,0,0,0,0,0,1,0
specific,1,0,0,0,0,0,0,0,0
consecutive,1,0,0,0,0,0,0,0,0
coincidence,0,0,0,0,2,0,0,0,0
digitus,0,0,0,0,1,0,0,0,0
numeral,0,0,0,0,16,0,0,0,0
call,0,0,0,0,1,0,0,35,0
digit,0,0,0,0,4,0,0,0,0
directly,0,0,1,0,0,0,0,0,0
modern,8,0,0,0,0,0,0,0,0
language,0,0,0,0,3,0,0,0,0
include,0,0,0,0,0,0,0,1,0
base,1,0,0,0,5,0,0,4,0
separate,3,0,0,0,0,0,0,2,0
cycle,0,0,0,0,3,0,0,0,0
old,5,0,0,0,0,0,0,0,0
english,1,0,0,0,0,0,0,0,0
endleofan,0,0,0,0,0,0,0,0,1
leave,0,0,0,0,0,0,0,8,0
twelf,0,0,0,0,1,0,0,0,0
thirteen,0,0,0,0,1,0,0,0,0
clearly,0,0,1,0,0,0,0,0,0
version,0,0,0,0,1,0,0,0,0
twentizh,0,0,0,0,0,0,0,0,1
ten,0,0,0,0,7,0,0,0,0
special,2,0,0,0,0,0,0,0,0
class,0,0,0,0,2,0,0,0,0
refer,0,0,0,0,0,0,0,5,0
different,8,0,0,0,0,0,0,0,0
positive,1,0,0,0,0,0,0,0,0
integer,0,0,0,0,5,0,0,0,0
apple,0,0,0,0,10,0,0,0,0
day,0,0,0,0,3,0,0,0,0
natural,3,0,0,0,0,0,0,0,0
kind,0,0,0,0,10,0,0,0,0
occur,0,0,0,0,0,0,0,1,0
law,0,0,0,0,17,0,0,0,0
multiply,0,0,2,0,0,0,0,21,0
divide,0,0,0,0,0,0,0,25,0
extract,0,0,0,0,0,0,0,1,0
fraction,0,0,0,0,31,0,0,0,0
negative,5,0,0,0,1,0,0,0,0
zero,0,0,0,0,0,17,0,0,0
introduce,0,0,0,0,0,0,0,3,0
later,0,0,3,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,1,0
possible,9,0,0,0,0,0,0,0,0
evolve,0,0,0,0,0,0,0,1,0
tool,0,0,0,0,2,0,0,0,0
solve,0,0,0,0,0,0,0,17,0
practical,5,0,0,0,0,0,0,0,0
problem,0,0,0,0,50,0,0,0,0
quantity,0,0,0,0,4,0,0,0,0
develop,0,0,0,0,0,0,0,11,0
combine,0,0,0,0,0,0,0,8,0
cow,0,0,0,0,1,0,0,0,0
altogether,0,0,3,0,0,0,0,0,0
buy,0,0,0,0,0,0,0,1,0
potato,0,0,0,0,1,0,0,0,0
tomorrow,0,0,0,0,1,0,0,0,0
eat,0,0,0,0,0,0,0,1,0
woodsman,0,0,0,0,1,0,0,0,0
tree,0,0,0,0,1,0,0,0,0
able,2,0,0,0,0,0,0,0,0
hour,0,0,0,0,5,0,0,0,0
mother,0,0,0,0,1,0,0,0,0
split,0,0,0,0,0,0,0,2,0
basket,0,0,0,0,2,0,0,0,0
get,0,0,0,0,0,0,0,1,0
equal,6,0,0,0,0,0,0,10,0
mom,0,0,0,0,1,0,0,0,0
pick,0,0,0,0,0,0,0,2,0
equally,0,0,2,0,0,0,0,0,0
distribute,0,0,0,0,0,0,0,2,0
fruit,0,0,0,0,1,0,0,0,0
apply,0,0,0,0,0,0,0,4,0
history,0,0,0,0,5,0,0,0,0
discover,0,0,0,0,0,0,0,6,0
deal,0,0,0,0,1,0,0,2,0
unrelated,1,0,0,0,0,0,0,0,0
abstract,2,0,0,0,0,0,0,0,0
study,0,0,0,0,2,0,0,6,0
pure,1,0,0,0,0,0,0,0,0
isolate,0,0,0,0,0,0,0,1,0
certain,4,0,0,0,0,0,0,0,0
rule,0,0,0,0,12,0,0,0,0
govern,0,0,0,0,0,0,0,2,0
follow,0,0,0,0,0,0,0,2,0
section,0,0,0,0,1,0,0,0,0
outline,0,0,0,0,0,0,0,1,0
explain,0,0,0,0,0,0,0,4,0
work,0,0,0,0,5,0,0,11,0
mathematic,0,0,0,0,16,0,0,0,0
ancient,17,0,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,1,0
pyramid,0,0,0,0,1,0,0,0,0
good,1,0,0,0,0,0,0,0,0
understanding,0,0,0,0,2,0,0,0,0
especially,0,0,4,0,0,0,0,0,0
complex,4,0,0,0,0,0,0,0,0
greatly,0,0,3,0,0,0,0,0,0
expand,0,0,0,0,0,0,0,1,0
idea,0,0,0,0,3,0,0,0,0
bce,0,0,0,0,3,0,0,0,0
important,3,0,0,0,0,0,0,0,0
book,0,0,0,0,4,0,0,0,0
contribute,0,0,0,0,0,0,0,1,0
arab,3,0,0,0,0,0,0,0,0
algebra,0,0,0,0,16,0,0,0,0
eventually,0,0,2,0,0,0,0,0,0
spread,0,0,0,0,0,0,0,1,0
progress,0,0,0,0,0,0,0,1,0
european,2,0,0,0,0,0,0,0,0
scientist,0,0,0,0,8,0,0,0,0
research,0,0,0,0,1,0,0,1,0
subject,0,0,0,0,2,0,0,0,0
astronomer,0,0,0,0,2,0,0,0,0
mathematical,2,0,0,0,0,0,0,0,0
sky,0,0,0,0,1,0,0,0,0
motion,0,0,0,0,1,0,0,0,0
scholar,0,0,0,0,1,0,0,0,0
represent,0,0,0,0,0,0,0,23,0
closely,0,0,2,0,0,0,0,0,0
relate,0,0,0,0,0,0,0,3,0
man,0,0,0,0,2,0,0,0,0
stray,2,0,0,0,0,0,0,0,0
herd,0,0,0,0,1,0,0,0,0
goat,0,0,0,0,5,0,0,0,0
animal,0,0,0,0,1,0,0,0,0
