word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,VERB,X
excitedly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
exit,0,0,0,0,0,0,0,1,0,0,0,0,4,0
outside,0,2,5,0,0,0,0,0,0,0,0,0,0,0
swing,0,0,0,0,0,0,0,1,0,0,0,0,1,0
enjoy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
booth,0,0,0,0,0,0,0,1,0,0,0,0,0,0
game,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ride,0,0,0,0,0,0,0,2,0,0,0,0,3,0
wonder,0,0,0,0,0,0,0,1,0,0,0,0,3,0
mom,0,0,0,0,0,0,0,2,0,0,0,0,0,0
get,0,0,0,0,0,0,0,0,0,0,0,0,51,0
darn,0,0,1,0,0,0,1,0,0,0,0,0,1,0
happy,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,0,0,57,0
nope,0,0,0,0,0,0,2,0,0,0,0,0,0,0
answer,0,0,0,0,0,0,0,1,0,0,0,0,15,0
tell,0,0,0,0,0,0,0,0,0,0,0,0,23,0
dream,0,0,0,0,0,0,0,9,0,0,0,0,0,0
right,11,0,31,0,0,0,3,2,0,0,0,0,0,0
yes,0,0,0,0,0,0,23,0,0,0,0,0,0,0
agree,0,0,0,0,0,0,0,0,0,0,0,0,2,0
hard,1,0,4,0,0,0,0,0,0,0,0,0,0,0
beauty,0,0,0,0,0,0,0,1,0,0,0,0,0,0
complacency,0,0,0,0,0,0,0,1,0,0,0,0,0,0
new,12,0,0,0,0,0,0,0,0,0,0,0,0,0
fail,0,0,0,0,0,0,0,0,0,0,0,0,2,0
like,1,35,0,0,0,0,1,0,0,0,0,0,7,0
actually,0,0,17,0,0,0,0,0,0,0,0,0,0,0
daughter,0,0,0,0,0,0,0,6,0,0,0,0,0,0
father,0,0,0,0,0,0,0,3,0,0,0,0,0,0
mean,0,0,0,0,0,0,0,0,0,0,0,0,15,0
hon,0,0,0,0,0,0,0,1,0,0,0,0,0,0
difficult,1,0,0,0,0,0,0,0,0,0,0,0,0,0
guess,0,0,0,0,0,0,0,0,0,0,0,0,3,0
parkoure,0,0,0,0,0,0,0,0,0,0,0,0,1,0
fence,0,0,0,0,0,0,0,6,0,0,0,0,0,0
heck,0,0,0,0,0,0,1,2,0,0,0,0,0,0
wanna,0,0,0,2,0,0,0,0,0,1,0,0,1,0
talk,0,0,0,0,0,0,0,0,0,0,0,0,20,0
make,0,0,0,0,0,0,0,0,0,0,0,0,8,0
farmer,0,0,0,0,0,0,0,2,0,0,0,0,0,0
dad,0,0,0,0,0,0,0,3,0,0,0,0,0,0
seventy,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brother,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sister,0,0,0,0,0,0,0,1,0,0,0,0,0,0
change,0,0,0,0,0,0,0,2,0,0,0,0,4,0
amen,0,0,0,0,0,0,1,0,0,0,0,0,0,0
farming,0,0,0,0,0,0,0,1,0,0,0,0,0,0
noble,1,0,0,0,0,0,0,0,0,0,0,0,0,0
profession,0,0,0,0,0,0,0,1,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,2,0,0,0,0,21,0
pay,0,0,0,0,0,0,0,0,0,0,0,0,5,0
attention,0,0,0,0,0,0,0,2,0,0,0,0,0,0
spot,0,0,0,0,0,0,0,1,0,0,0,0,8,0
follow,0,0,0,0,0,0,0,0,0,0,0,0,14,0
little,46,0,0,0,0,0,0,0,0,0,0,0,0,0
instantly,0,0,2,0,0,0,0,0,0,0,0,0,0,0
alert,1,0,0,0,0,0,0,0,0,0,0,0,0,0
honey,0,0,0,0,0,0,0,1,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,0,0,12,0
close,0,0,4,0,0,0,0,0,0,0,0,0,6,0
