word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
wall,0,0,0,0,0,9,0,0,0
soon,0,0,3,0,0,0,0,0,0
secret,3,0,0,0,0,2,0,0,0
think,0,0,0,0,0,0,0,0,15
ago,0,0,1,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,4
terror,0,0,0,0,0,2,0,0,0
run,0,0,0,0,0,0,0,0,9
scream,0,0,0,0,0,1,0,0,1
shoot,0,0,0,0,0,0,0,0,2
armchair,0,0,0,0,0,1,0,0,0
cold,6,0,0,0,0,1,0,0,0
finger,0,0,0,0,0,4,0,0,0
hold,0,0,0,0,0,1,0,0,4
white,9,0,0,0,0,1,0,0,0
neck,0,0,0,0,0,4,0,0,0
time,0,0,0,0,0,15,0,0,0
throw,0,0,0,0,0,0,0,0,5
bad,7,0,0,0,0,0,0,0,0
sorry,5,0,0,0,0,0,0,0,0
hard,0,0,2,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0,2
cross,0,0,0,0,0,2,0,0,0
want,0,0,0,0,0,0,0,0,12
hurt,0,0,0,0,0,0,0,0,3
way,0,0,0,0,0,6,0,0,0
nice,4,0,0,0,0,0,0,0,0
funny,2,0,0,0,0,0,0,0,0
possibly,0,0,1,0,0,0,0,0,0
change,0,0,0,0,0,1,0,0,2
colour,0,0,0,0,0,3,0,0,0
purple,1,0,0,0,0,0,0,0,0
downstairs,0,0,3,0,0,0,0,0,0
new,2,0,0,0,0,0,0,0,0
person,0,0,0,0,0,1,0,0,0
explain,0,0,0,0,0,0,0,0,1
suit,0,0,0,0,0,2,0,0,0
armour,0,0,0,0,0,4,0,0,0
surely,0,0,1,0,0,0,0,0,0
frighten,0,0,0,0,0,0,0,0,7
loud,2,0,0,0,0,0,0,0,0
softly,0,0,2,0,0,0,0,0,0
pain,0,0,0,0,0,1,0,0,0
pea,0,0,0,0,0,1,0,0,0
shooter,0,0,0,0,0,1,0,0,0
ball,0,0,0,0,0,1,0,0,0
paper,0,0,0,0,0,3,0,0,0
handgun,0,0,0,0,0,1,0,0,0
wild,1,0,0,0,0,0,0,0,0
candle,0,0,0,0,0,3,0,0,0
turn,0,0,0,0,0,0,0,0,12
ghostly,6,0,0,0,0,0,0,0,0
single,1,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,9
special,1,0,0,0,0,0,0,0,0
stomach,0,0,0,0,0,2,0,0,0
medicine,0,0,0,0,0,1,0,0,0
have,0,0,0,0,0,0,0,0,1
help,0,0,0,0,0,0,0,0,3
well,3,0,1,0,0,0,0,0,0
angrily,0,0,2,0,0,0,0,0,0
dog,0,0,0,0,0,1,0,0,0
oooooooh,0,0,0,0,1,0,0,0,0
spend,0,0,0,0,0,0,0,0,2
wear,0,0,0,0,0,0,0,0,5
dead,4,0,0,0,0,0,0,0,0
shroud,0,0,0,0,0,7,0,0,0
hat,0,0,0,0,0,1,0,0,0
feather,0,0,0,0,0,1,0,0,0
knife,0,0,0,0,0,4,0,0,0
wind,0,0,0,0,0,6,0,0,0
roof,0,0,0,0,0,1,0,0,0
plan,0,0,0,0,0,3,0,0,0
sure,2,0,0,0,0,0,0,0,0
frightened,6,0,0,0,0,0,0,0,0
push,0,0,0,0,0,0,0,0,2
slow,1,0,0,0,0,0,0,0,0
music,0,0,0,0,0,2,0,0,0
ear,0,0,0,0,0,5,0,0,0
face,0,0,0,0,0,6,0,0,0
pretty,3,0,0,0,0,0,0,0,0
soft,3,0,0,0,0,0,0,0,0
ooooh,0,0,0,0,1,0,0,0,0
sheet,0,0,0,0,0,3,0,0,0
horrible,7,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,1
lesson,0,0,0,0,0,1,0,0,0
tonight,0,0,0,0,0,1,0,0,0
smell,0,0,0,0,0,0,0,0,1
dance,0,0,0,0,0,1,0,0,2
half,0,0,2,0,0,2,0,0,0
shout,0,0,0,0,0,1,0,0,2
quarter,0,0,0,0,0,3,0,0,0
midnight,0,0,0,0,0,5,0,0,0
moon,0,0,0,0,0,3,0,0,0
hide,0,0,0,0,0,0,0,0,3
silently,0,0,4,0,0,0,0,0,0
happily,0,0,2,0,0,0,0,0,0
corner,0,0,0,0,0,5,0,0,0
pull,0,0,0,0,0,0,0,0,2
show,0,0,0,0,0,0,0,0,1
walk,0,0,0,0,0,0,0,0,11
clock,0,0,0,0,0,2,0,0,0
fat,1,0,0,0,0,0,0,0,0
deathly,1,0,0,0,0,0,0,0,0
mouth,0,0,0,0,0,3,0,0,0
burn,0,0,0,0,0,0,0,0,2
carry,0,0,0,0,0,0,0,0,3
piece,0,0,0,0,0,2,0,0,0
writing,0,0,0,0,0,1,0,0,0
read,0,0,0,0,0,0,0,0,4
catch,0,0,0,0,0,0,0,0,2
watch,0,0,0,0,0,0,0,0,3
fighter,0,0,0,0,0,1,0,0,0
friend,0,0,0,0,0,2,0,0,0
early,0,0,1,0,0,0,0,0,0
wrong,4,0,0,0,0,0,0,0,0
sick,1,0,0,0,0,0,0,0,0
forward,0,0,1,0,0,0,0,0,0
brush,0,0,0,0,0,1,0,0,0
turnip,0,0,0,0,0,1,0,0,0
happen,0,0,0,0,0,0,0,0,3
understand,0,0,0,0,0,0,0,0,3
finish,0,0,0,0,0,0,0,0,2
stay,0,0,0,0,0,0,0,0,4
tired,2,0,0,0,0,0,0,0,0
put,0,0,0,0,0,0,0,0,2
appearance,0,0,0,0,0,1,0,0,0
job,0,0,0,0,0,2,0,0,0
oooooh,0,0,0,0,2,0,0,0,0
aaaaagh,0,0,0,0,2,0,0,0,0
month,0,0,0,0,0,1,0,0,0
usual,1,0,0,0,0,0,0,0,0
anybody,0,0,0,0,0,0,0,1,0
useful,1,0,0,0,0,0,0,0,0
butter,0,0,0,0,0,1,0,0,0
visit,0,0,0,0,0,0,0,0,1
hour,0,0,0,0,0,1,0,0,0
pleased,1,0,0,0,0,0,0,0,0
jug,0,0,0,0,0,2,0,0,0
water,0,0,0,0,0,3,0,0,0
wet,1,0,0,0,0,0,0,0,0
gun,0,0,0,0,0,1,0,0,0
favourite,2,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,2,0,0,0
boo,0,0,0,0,0,1,0,0,0
garden,0,0,0,0,0,4,0,0,0
syringe,0,0,0,0,0,1,0,0,0
enemy,0,0,0,0,0,1,0,0,0
side,0,0,0,0,0,1,0,0,0
aaaagh,0,0,0,0,1,0,0,0,0
luckily,0,0,1,0,0,0,0,0,0
terribly,0,0,1,0,0,0,0,0,0
nutshell,0,0,0,0,0,1,0,0,0
difficult,3,0,0,0,0,0,0,0,0
book,0,0,0,0,0,1,0,0,0
number,0,0,0,0,0,1,0,0,0
holiday,0,0,0,0,0,2,0,0,0
write,0,0,0,0,0,0,0,0,2
letter,0,0,0,0,0,2,0,0,0
true,2,0,0,0,0,0,0,0,0
brother,0,0,0,0,0,4,0,0,0
grandfather,0,0,0,0,0,1,0,0,0
poor,4,0,0,0,0,0,0,0,0
life,0,0,0,0,0,1,0,0,0
riding,0,0,0,0,0,1,0,0,0
wood,0,0,0,0,0,4,0,0,0
skirt,0,0,0,0,0,2,0,0,0
surprise,0,0,0,0,0,2,0,0,1
autumn,0,0,0,0,0,1,0,0,0
tomorrow,0,0,0,0,0,2,0,0,0
keyhole,0,0,0,0,0,1,0,0,0
kill,0,0,0,0,0,0,0,0,4
easy,3,0,0,0,0,0,0,0,0
cooking,0,0,0,0,0,1,0,0,0
matter,0,0,0,0,0,0,0,0,1
food,0,0,0,0,0,2,0,0,0
mean,0,0,0,0,0,0,0,0,4
hungry,1,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,1,0,0,0
eat,0,0,0,0,0,0,0,0,1
paint,0,0,0,0,0,3,0,0,1
box,0,0,0,0,0,6,0,0,0
stupid,3,0,0,0,0,0,0,0,0
picture,0,0,0,0,0,3,0,0,0
sun,0,0,0,0,0,1,0,0,0
yellow,0,0,0,0,0,1,0,0,0
real,1,0,0,0,0,0,0,0,0
start,0,0,0,0,0,0,0,0,1
