word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
elect,0,0,0,0,0,0,0,0,0,0,29,0
popular,17,0,0,0,0,0,0,0,0,0,0,0
seven,0,0,0,0,0,0,0,0,10,0,0,0
post,1,0,0,0,0,0,0,7,0,0,0,0
ceremonial,1,0,0,0,0,0,0,0,0,0,0,0
real,7,0,0,0,0,0,0,0,0,0,0,0
executive,4,0,0,0,0,0,0,2,0,0,0,0
power,0,0,0,0,0,0,0,52,0,0,1,0
reside,0,0,0,0,0,0,0,0,0,0,2,0
office,0,0,0,0,0,0,0,13,0,0,0,0
taoiseach,0,0,0,0,0,0,0,13,0,0,0,2
prime,15,0,0,0,0,0,0,2,0,0,0,0
minister,0,0,0,0,0,0,0,31,0,0,0,0
legislative,5,0,0,0,0,0,0,0,0,0,0,0
branch,0,0,0,0,0,0,0,7,0,0,0,0
decade,0,0,0,0,0,0,0,14,0,0,0,0
member,0,0,0,0,0,0,0,54,0,0,0,0
adopt,0,0,0,0,0,0,0,0,0,0,12,0
currency,0,0,0,0,0,0,0,19,0,0,0,0
border,1,0,0,0,0,0,0,2,0,0,0,0
volitional,1,0,0,0,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,3,0
grand,1,0,0,0,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,0,19,0,0,2,0
large,48,0,0,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,0,0,32,0,0,0,0
image,0,0,0,0,0,0,0,3,0,0,0,0
profile,0,0,0,0,0,0,0,2,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,7,0
host,0,0,0,0,0,0,0,1,0,0,0,0
iconic,1,0,0,0,0,0,0,0,0,0,0,0
writer,0,0,0,0,0,0,0,13,0,0,0,0
visual,5,0,0,0,0,0,0,0,0,0,0,0
artist,0,0,0,0,0,0,0,16,0,0,0,0
painter,0,0,0,0,0,0,0,3,0,0,0,0
filmmaker,0,0,0,0,0,0,0,2,0,0,0,0
musician,0,0,0,0,0,0,0,4,0,0,0,0
event,0,0,0,0,0,0,0,11,0,0,0,0
plant,0,0,0,0,0,0,0,10,0,0,1,0
shamrock,0,0,0,0,0,0,0,4,0,0,0,0
animal,0,0,0,0,0,0,0,6,0,0,0,0
snake,0,0,0,0,0,0,0,10,0,0,0,0
product,0,0,0,0,0,0,0,9,0,0,0,0
beer,0,0,0,0,0,0,0,3,0,0,0,0
crystal,0,0,0,0,0,0,0,1,0,0,0,0
poetry,0,0,0,0,0,0,0,3,0,0,0,0
limerick,0,0,0,0,0,0,0,3,0,0,0,0
specific,1,0,0,0,0,0,0,0,0,0,0,0
colour,0,0,0,0,0,0,0,4,0,0,1,0
green,5,0,0,0,0,0,0,5,0,0,0,0
magical,1,0,0,0,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,0,0,1,0,0,0,0
leprechaun,0,0,0,0,0,0,0,2,0,0,0,0
mind,0,0,0,0,0,0,0,2,0,0,0,0
nickname,0,0,0,0,0,0,0,1,0,0,0,0
base,0,0,0,0,0,0,0,4,0,0,13,0
unprecedented,2,0,0,0,0,0,0,0,0,0,0,0
economic,35,0,0,0,0,0,0,2,0,0,0,0
boom,0,0,0,0,0,0,0,3,0,0,1,0
soar,0,0,0,0,0,0,0,0,0,0,1,0
waiver,0,0,0,0,0,0,0,0,0,0,1,0
require,0,0,0,0,0,0,0,0,0,0,8,0
assistance,0,0,0,0,0,0,0,5,0,0,0,0
paw,0,0,0,0,0,0,0,1,0,0,0,0
course,0,0,0,0,0,0,0,7,0,0,0,0
lilting,1,0,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,1,0,0,0,0
tone,0,0,0,0,0,0,0,2,0,0,0,0
tenor,0,0,0,0,0,0,0,3,0,0,0,0
loud,0,0,1,0,0,0,0,0,0,0,0,0
strong,11,0,1,0,0,0,0,0,0,0,0,0
foot,0,0,0,0,0,0,0,16,0,0,0,0
talk,0,0,0,0,0,0,0,1,0,0,1,0
want,0,0,0,0,0,0,0,0,0,0,2,0
utter,0,0,0,0,0,0,0,0,0,0,1,0
expression,0,0,0,0,0,0,0,5,0,0,0,0
mornin,0,0,0,0,0,0,0,1,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,12,0
brogue,0,0,0,0,0,0,0,1,0,0,0,0
approximate,0,0,0,0,0,0,0,0,0,0,2,0
butcher,0,0,0,0,0,0,0,0,0,0,2,0
creative,2,0,0,0,0,0,0,0,0,0,0,0
output,0,0,0,0,0,0,0,5,0,0,0,0
pull,0,0,0,0,0,0,0,2,0,0,0,0
imagination,0,0,0,0,0,0,0,2,0,0,0,0
occupy,0,0,0,0,0,0,0,0,0,0,8,0
geographic,2,0,0,0,0,0,0,0,0,0,0,0
isle,0,0,0,0,0,0,0,1,0,0,0,0
brain,0,0,0,0,0,0,0,1,0,0,0,0
far,0,0,7,0,0,0,0,0,0,0,0,0
wide,14,0,1,0,0,0,0,0,0,0,0,0
