word,ADJ,ADP,ADV,NOUN,NUM,PUNCT,SCONJ,VERB,X
different,23,0,0,0,0,0,0,0,0
interact,0,0,0,0,0,0,0,2,0
body,0,0,0,22,0,0,0,0,0
knowledge,0,0,0,8,0,0,0,0,0
grow,0,0,0,0,0,0,0,21,0
provide,0,0,0,0,0,0,0,9,0
insight,0,0,0,2,0,0,0,0,0
medicine,0,0,0,12,0,0,0,0,0
anthropology,0,0,0,1,0,0,0,0,0
history,0,0,0,2,0,0,0,0,0
environmental,1,0,0,0,0,0,0,0,0
issue,0,0,0,4,0,0,0,0,0
pressing,1,0,0,0,0,0,0,0,0
inform,0,0,0,0,0,0,0,1,0
debate,0,0,0,1,0,0,0,0,0
problem,0,0,0,1,0,0,0,0,0
arise,0,0,0,0,0,0,0,4,0
find,0,0,0,0,0,0,0,14,0
solution,0,0,0,1,0,0,0,0,0
answer,0,0,0,1,0,0,0,4,0
remain,0,0,0,1,0,0,0,12,0
constantly,0,0,1,0,0,0,0,0,0
intriguing,1,0,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,4,0
ask,0,0,0,0,0,0,0,2,0
chapter,0,0,0,7,0,0,0,0,0
thing,0,0,0,46,0,0,0,0,0
scientific,15,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,51,0
strive,0,0,0,0,0,0,0,1,0
natural,21,0,0,0,0,0,0,0,0
world,0,0,0,8,0,0,0,0,0
inhabitant,0,0,0,1,0,0,0,0,0
fungus,0,0,0,22,0,0,0,0,0
protozoan,0,0,0,12,0,0,0,0,0
algae,0,0,0,15,0,0,0,0,0
archaea,0,0,0,23,0,0,0,0,0
virus,0,0,0,11,0,0,0,0,0
occur,0,0,0,0,0,0,0,7,0
particular,4,0,0,0,0,0,0,0,0
way,0,0,0,15,0,0,0,0,0
carry,0,0,0,0,0,0,0,17,0
organ,0,0,0,9,0,0,0,0,0
tissue,0,0,0,23,0,0,0,0,0
specific,7,0,0,0,0,0,0,0,0
liver,0,0,0,6,0,0,0,0,0
break,0,0,0,0,0,0,0,3,0
fat,0,0,0,3,0,0,0,0,0
green,10,0,0,0,0,0,0,0,0
convert,0,0,0,0,0,0,0,3,0
water,0,0,0,17,0,0,0,0,0
carbon,0,0,0,21,0,0,0,0,0
dioxide,0,0,0,15,0,0,0,0,0
sugar,0,0,0,5,0,0,0,0,0
mosquito,0,0,0,1,0,0,0,0,0
winter,0,0,0,1,0,0,0,0,0
investigation,0,0,0,2,0,0,0,0,0
require,0,0,0,0,0,0,0,13,0
research,0,0,0,23,0,0,0,0,0
today,0,0,0,9,0,0,0,0,0
unsolved,1,0,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,5,0
well,1,0,5,0,0,0,0,0,0
depend,0,0,0,0,0,0,0,3,0
rain,0,0,0,3,0,0,0,0,0
forest,0,0,0,3,0,0,0,0,0
like,2,11,0,0,0,0,0,1,0
estimate,0,0,0,1,0,0,0,5,0
contain,0,0,0,0,0,0,0,22,0
discover,0,0,0,0,0,0,0,7,0
gallery,0,0,0,0,0,1,0,0,0
annual,1,0,0,0,0,0,0,0,0
output,0,0,0,1,0,0,0,0,0
massive,1,0,0,0,0,0,0,0,0
single,20,0,0,0,0,0,0,0,0
possibly,0,0,1,0,0,0,0,0,0
acquire,0,0,0,0,0,0,0,2,0
area,0,0,0,8,0,0,0,0,0
specialization,0,0,0,4,0,0,0,0,0
allow,0,0,0,0,0,0,0,7,0
informed,1,0,0,0,0,0,0,0,0
key,4,0,0,0,0,0,0,0,0
development,0,0,0,11,0,0,0,0,0
subdivision,0,0,0,3,0,0,0,0,0
divide,0,0,0,0,0,0,0,8,0
incorporate,0,0,0,0,0,0,0,1,0
science,0,0,0,6,0,0,0,0,0
physics,0,0,0,1,0,0,0,0,0
chemistry,0,0,0,3,0,0,0,0,0
geology,0,0,0,2,0,0,0,0,0
example,0,0,0,22,0,0,0,0,0
detailed,1,0,0,0,0,0,0,0,0
bioluminescence,0,0,0,1,0,0,0,0,0
light,0,0,0,5,0,0,0,0,0
produce,0,0,0,0,0,0,0,12,0
firefly,0,0,0,1,0,0,0,0,0
solid,3,0,0,0,0,0,0,0,0
biochemistry,0,0,0,5,0,0,0,0,0
moon,0,0,0,1,0,0,0,0,0
jellyfish,0,0,0,1,0,0,0,0,0
bioluminescent,1,0,0,0,0,0,0,0,0
mean,0,0,0,2,0,0,0,4,0
dark,1,0,0,0,0,0,0,0,0
depth,0,0,0,2,0,0,0,0,0
sea,0,0,0,10,0,0,0,0,0
group,0,0,0,23,0,0,0,1,0
zoology,0,0,0,1,0,0,0,0,0
botany,0,0,0,5,0,0,0,0,0
following,1,0,0,0,0,0,0,0,0
arachnology,0,0,0,1,0,0,0,0,0
spider,0,0,0,1,0,0,0,0,0
mite,0,0,0,1,0,0,0,0,0
scorpion,0,0,0,1,0,0,0,0,0
bryology,0,0,0,1,0,0,0,0,0
moss,0,0,0,3,0,0,0,0,0
entomology,0,0,0,1,0,0,0,0,0
insect,0,0,0,11,0,0,0,0,0
herpetology,0,0,0,1,0,0,0,0,0
reptile,0,0,0,3,0,0,0,0,0
amphibian,0,0,0,2,0,0,0,0,0
ichthyology,0,0,0,1,0,0,0,0,0
fish,0,0,0,5,0,0,0,0,0
mammalogy,0,0,0,1,0,0,0,0,0
mammal,0,0,0,7,0,0,0,0,0
microbiology,0,0,0,2,0,0,0,0,0
microscopic,3,0,0,0,0,0,0,0,0
mycology,0,0,0,1,0,0,0,0,0
ornithology,0,0,0,1,0,0,0,0,0
parasitology,0,0,0,1,0,0,0,0,0
parasite,0,0,0,3,0,0,0,0,0
phycology,0,0,0,1,0,0,0,0,0
virology,0,0,0,1,0,0,0,0,0
feature,0,0,0,3,0,0,0,1,0
structure,0,0,0,24,0,0,0,0,0
concept,0,0,0,9,0,0,0,0,0
general,3,0,0,0,0,0,0,0,0
principle,0,0,0,4,0,0,0,0,0
apply,0,0,0,0,0,0,0,3,0
type,0,0,0,20,0,0,0,0,0
anatomy,0,0,0,5,0,0,0,0,0
cytology,0,0,0,2,0,0,0,0,0
ethology,0,0,0,2,0,0,0,0,0
behavior,0,0,0,2,0,0,0,0,0
genetics,0,0,0,1,0,0,0,0,0
heredity,0,0,0,7,0,0,0,0,0
