word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
ago,0,0,11,0,0,0,0,0,0
classical,1,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,27,0
morning,0,0,0,0,5,0,0,0,0
sunrise,0,0,0,0,2,0,0,0,0
greek,5,0,0,0,0,0,0,0,0
equivalent,2,0,0,0,4,0,0,0,0
roman,3,0,0,0,0,0,0,0,0
god,0,0,0,0,5,0,0,0,0
evening,0,0,0,0,3,0,0,0,0
sunset,0,0,0,0,1,0,0,0,0
swift,1,0,0,0,0,0,0,0,0
messenger,0,0,0,0,1,0,0,0,0
likely,2,0,7,0,0,0,0,0,0
reference,0,0,0,0,7,0,0,0,0
rapid,3,0,0,0,0,0,0,0,0
motion,0,0,0,0,19,0,0,0,0
sky,0,0,0,0,11,0,0,0,0
recent,8,0,0,0,0,0,0,0,0
era,0,0,0,0,1,0,0,0,0
pass,0,0,0,0,0,0,0,6,0
entire,10,0,0,0,0,0,0,0,0
lifetime,0,0,0,0,1,0,0,0,0
repute,0,0,0,0,0,0,0,1,0
heliocentric,1,0,0,0,0,0,0,0,0
model,0,0,0,0,7,0,0,1,0
heaven,0,0,0,0,1,0,0,0,0
century,0,0,0,0,12,0,0,0,0
explain,0,0,0,0,0,0,0,4,0
proximity,0,0,0,0,5,0,0,0,0
express,0,0,0,0,0,0,0,4,0
deathbed,0,0,0,0,1,0,0,0,0
regret,0,0,0,0,1,0,0,0,0
eye,0,0,0,0,3,0,0,0,0
probe,0,0,0,0,4,0,0,0,0
understand,0,0,0,0,0,0,0,13,0
shortage,0,0,0,0,1,0,0,0,0
information,0,0,0,0,6,0,0,0,0
basic,3,0,0,0,0,0,0,0,0
question,0,0,0,0,5,0,0,0,0
unsettled,1,0,0,0,0,0,0,0,0
length,0,0,0,0,7,0,0,0,0
day,0,0,0,0,33,0,0,0,0
determine,0,0,0,0,0,0,0,6,0
nearness,0,0,0,0,5,0,0,0,0
bind,0,0,0,0,0,0,0,1,0
observational,2,0,0,0,0,0,0,0,0
hurdle,0,0,0,0,1,0,0,0,0
overcome,0,0,0,0,0,0,0,1,0
launch,0,0,0,0,0,0,0,5,0
fly,0,0,0,0,0,0,0,2,0
past,2,1,0,0,2,0,0,0,0
twice,0,0,3,3,0,0,0,0,0
settle,0,0,0,0,0,0,0,1,0
crash,0,0,0,0,0,0,0,2,0
exploit,0,0,0,0,0,0,0,1,0
confirm,0,0,0,0,0,0,0,2,0
